YEAR	MONTH	POPN	SPIR	SPIROFF	MONTHN	SPIRSUM	POPSUM
1968	1	2126713	446774	0	1	38448283	122668730
1968	2	2129396	468440	0	2	40892275	122843794
1968	3	2131935	507038	0	3	47456672	123008526
1968	4	2134682	443942	0	4	41839056	123185652
1968	5	2137373	473110	0	5	49298219	123358096
1968	6	2140188	422445	0	6	43835984	123537370
1968	7	2142945	445832	0	7	43425027	123711914
1968	8	2145828	440578	0	8	46549207	123893371
1968	9	2148746	466968	0	9	44690013	124075957
1968	10	2151605	497569	0	10	50295146	124253741
1968	11	2154594	584829	0	11	55604576	124438583
1968	12	2157522	733380	0	12	68950670	124618569
1969	1	2160584	504692	0	13	41219070	124805711
1969	2	2163683	485009	0	14	41211852	124994035
1969	3	2166514	520905	0	15	47127269	125165164
1969	4	2169684	502974	0	16	48072496	125355783
1969	5	2172789	538649	0	17	49844363	125541404
1969	6	2176036	450709	0	18	51367929	125734426
1969	7	2179214	472442	0	19	47272798	125922407
1969	8	2182538	480241	0	20	45734986	126117882
1969	9	2185901	530332	0	21	43929158	126314621
1969	10	2189194	534934	0	22	51992775	126506230
1969	11	2192636	580345	0	23	54963214	126705496
1969	12	2196006	785317	0	24	73797871	126899561
1970	1	2199529	551514	0	25	44224204	127101389
1970	2	2203093	498211	0	26	41145472	127304537
1970	3	2206349	528324	0	27	50762947	127489169
1970	4	2209993	516555	0	28	50055566	127694861
1970	5	2213560	512664	0	29	47024301	127895203
1970	6	2217287	503506	0	30	48750370	128103532
1970	7	2220933	500808	0	31	47345919	128306392
1970	8	2224740	494847	0	32	44780312	128517288
1970	9	2228587	512121	0	33	48876648	128729453
1970	10	2232346	577314	0	34	51727291	128935961
1970	11	2236269	574014	0	35	55601402	129150560
1970	12	2240100	809699	0	36	80366083	129359392
1971	1	2244095	562016	0	37	42571236	129576349
1971	2	2248126	553832	0	38	42460710	129794468
1971	3	2251797	599205	0	39	51083960	129992470
1971	4	2255894	586180	0	40	49860847	130212749
1971	5	2259891	580915	0	41	48472524	130426976
1971	6	2264053	532468	0	42	55049721	130649410
1971	7	2268112	606824	0	43	49768226	130865682
1971	8	2272337	538920	0	44	48572500	131090184
