YEAR	MONTH	POPN	SPIR	SPIROFF	MONTHN	SPIRSUM	POPSUM
1968	1	422915	87652	0	1	38448283	122668730
1968	2	423685	91979	0	2	40892275	122843794
1968	3	424420	107524	0	3	47456672	123008526
1968	4	425222	95544	0	4	41839056	123185652
1968	5	426015	104094	0	5	49298219	123358096
1968	6	426850	107964	0	6	43835984	123537370
1968	7	427675	102237	0	7	43425027	123711914
1968	8	428545	116969	0	8	46549207	123893371
1968	9	429433	97770	0	9	44690013	124075957
1968	10	430308	111864	0	10	50295146	124253741
1968	11	431231	118571	0	11	55604576	124438583
1968	12	432141	180052	0	12	68950670	124618569
1969	1	433100	90963	0	13	41219070	124805711
1969	2	434077	91616	0	14	41211852	124994035
1969	3	434976	101117	0	15	47127269	125165164
1969	4	435989	100159	0	16	48072496	125355783
1969	5	436987	109831	0	17	49844363	125541404
1969	6	438038	103593	0	18	51367929	125734426
1969	7	439073	115529	0	19	47272798	125922407
1969	8	440162	119462	0	20	45734986	126117882
1969	9	441271	111975	0	21	43929158	126314621
1969	10	442363	124638	0	22	51992775	126506230
1969	11	443511	118970	0	23	54963214	126705496
1969	12	444641	202635	0	24	73797871	126899561
1970	1	445830	100619	0	25	44224204	127101389
1970	2	447039	96854	0	26	41145472	127304537
1970	3	448148	107134	0	27	50762947	127489169
1970	4	449397	118183	0	28	50055566	127694861
1970	5	450625	100720	0	29	47024301	127895203
1970	6	451915	114767	0	30	48750370	128103532
1970	7	453183	118222	0	31	47345919	128306392
1970	8	454513	116505	0	32	44780312	128517288
1970	9	455862	116816	0	33	48876648	128729453
1970	10	457186	130462	0	34	51727291	128935961
1970	11	458573	121229	0	35	55601402	129150560
1970	12	459932	210678	0	36	80366083	129359392
1971	1	461355	99023	0	37	42571236	129576349
1971	2	462795	102127	0	38	42460710	129794468
1971	3	464111	113912	0	39	51083960	129992470
1971	4	465584	113860	0	40	49860847	130212749
1971	5	467025	115203	0	41	48472524	130426976
1971	6	468530	121051	0	42	55049721	130649410
1971	7	470002	133305	0	43	49768226	130865682
1971	8	471537	122903	0	44	48572500	131090184
1971	9	473088	125199	0	45	48506719	131315708
1971	10	474602	134406	0	46	52080629	131534906
1971	11	476181	134262	0	47	61050763	131762374
1971	12	477723	234345	0	48	80600824	131983421
1972	1	479328	102026	0	49	42516957	132212749
1972	2	480947	110102	0	50	42378640	132442996
1972	3	482473	124464	0	51	52061163	132659199
1972	4	484116	114312	0	52	45644447	132891164
1972	5	485717	124642	0	53	50753298	133116447
1972	6	487383	172190	0	54	55584667	133350064
1972	7	489006	106902	0	55	45230396	133576914
1972	8	490694	118954	0	56	47240424	133812111
1972	9	492391	123723	0	57	47637431	134048069
1972	10	494044	123220	0	58	50617153	134277133
1972	11	495761	131884	0	59	60642711	134514551
1972	12	497431	225321	0	60	78640146	134744973
1973	1	499166	106282	0	61	46148032	134983759
1973	2	500909	107815	0	62	43446289	135223203
1973	3	502490	128142	0	63	52634920	135440031
1973	4	504248	112542	0	64	48306019	135680684
1973	5	505956	121972	0	65	53092531	135914148
1973	6	507728	129305	0	66	53782465	136155966
1973	7	509449	123166	0	67	47234948	136390517
1973	8	511233	139544	0	68	52003121	136633419
1973	9	513023	122937	0	69	46361754	136876840
1973	10	514760	132785	0	70	54440734	137112883
1973	11	516560	142139	0	71	62884189	137357264
1973	12	518306	231861	0	72	78749814	137594194
1974	1	520115	112219	0	73	46737501	137839448
1974	2	521927	112581	0	74	44690814	138085124
1974	3	523567	129377	0	75	53722116	138307353
1974	4	525385	121877	0	76	52810420	138553755
1974	5	527147	132681	0	77	53873722	138792546
1974	6	528971	125414	0	78	53864591	139039618
1974	7	530737	154612	0	79	51455989	139279019
1974	8	532563	131319	0	80	51139793	139526684
1974	9	534390	161917	0	81	47802370	139774617
1974	10	536159	131517	0	82	56160589	140014789
1974	11	537988	141027	0	83	62989816	140263186
1974	12	539757	264145	0	84	78863279	140503772
1975	1	541585	112413	0	85	49173119	140752558
1975	2	543412	122247	0	86	42266517	141001504
1975	3	545061	128103	0	87	51433648	141226486
1975	4	546885	157752	0	88	52241813	141475689
1975	5	548648	161754	0	89	53436089	141716949
1975	6	550468	121135	0	90	56472873	141966331
1975	7	552226	154160	0	91	52582773	142207724
1975	8	554040	144581	0	92	50322444	142457205
1975	9	555851	171475	0	93	51013036	142706708
1975	10	557599	142075	0	94	57799585	142948157
1975	11	559401	152739	0	95	62332892	143197632
1975	12	561140	278200	0	96	83797634	143439013
1976	1	562933	121021	0	97	47487323	143688383
1976	2	564720	126106	0	98	44165435	143937660
1976	3	566386	130663	0	99	56309357	144170762
1976	4	568161	161611	0	100	51946944	144419813
1976	5	569873	160650	0	101	51465386	144660687
1976	6	571634	133724	0	102	57624996	144909432
1976	7	573332	149721	0	103	51913304	145149966
1976	8	575079	146246	0	104	50038305	145398307
1976	9	576817	177964	0	105	52358874	145646422
1976	10	578491	144953	0	106	54054291	145886287
1976	11	580212	155170	0	107	66054361	146133881
1976	12	581869	279400	0	108	84114270	146373207
1977	1	583571	130972	0	109	43527374	146620198
1977	2	585263	125222	0	110	42269310	146866849
1977	3	586782	130389	0	111	55303971	147089332
1977	4	588454	161027	0	112	50016637	147335280
1977	5	590061	170760	0	113	49322585	147572919
1977	6	591710	136115	0	114	58444772	147818068
1977	7	593294	152102	0	115	46469518	148054888
1977	8	594919	147900	0	116	50022439	148299147
1977	9	596531	185460	0	117	51654903	148542929
1977	10	598078	151183	0	118	52463964	148778362
1977	11	599664	165211	0	119	66223394	149021130
1977	12	601185	286132	0	120	82166610	149255545
1978	1	602743	145657	0	121	45883428	149497214
1978	2	604285	138555	0	122	45222388	149738294
1978	3	605666	143076	0	123	57515335	149955529
1978	4	607179	175070	0	124	50870511	150195438
1978	5	608629	175861	0	125	51432907	150426988
1978	6	610111	155107	0	126	58341626	150665598
1978	7	611529	145313	0	127	47935373	150895852
1978	8	612977	150929	0	128	53722430	151133080
1978	9	614408	187123	0	129	51255487	151369579
1978	10	615776	152506	0	130	56495830	151597732
1978	11	617171	164354	0	131	66848106	151832726
1978	12	618504	282334	0	132	79288972	152059377
1979	1	619862	150876	0	133	48141918	152292783
1979	2	621201	138605	0	134	45644962	152525354
1979	3	622394	144433	0	135	56366636	152734677
1979	4	623695	176488	0	136	51907720	152965594
1979	5	624934	173277	0	137	53496685	153188202
1979	6	626194	166070	0	138	55764807	153417326
1979	7	627393	138647	0	139	48840879	153638163
1979	8	628610	155448	0	140	54268936	153865420
1979	9	629806	188857	0	141	50604463	154091690
1979	10	630941	156831	0	142	58176041	154309700
1979	11	632092	166280	0	143	66895116	154533976
1979	12	633184	277988	0	144	81054253	154750017
1980	1	634288	193244	0	145	49886493	154972212
1980	2	635369	141315	0	146	48176331	155193318
1980	3	636357	147712	0	147	52082797	155399157
1980	4	637390	174539	0	148	53454827	155618098
1980	5	638366	180207	0	149	52025492	155828887
1980	6	639349	131504	0	150	56472473	156045583
1980	7	640278	178035	0	151	54824922	156254216
1980	8	641214	117934	0	152	51291160	156468720
1980	9	642127	192598	0	153	52359278	156682123
1980	10	642988	157279	0	154	57682680	156887618
1980	11	643855	160596	0	155	64453022	157098906
1980	12	644673	287329	0	156	82248104	157302379
1981	1	645497	194409	0	157	49323253	157511614
1981	2	646299	144667	0	158	46564612	157719825
1981	3	647006	145629	0	159	53942710	157907014
1981	4	647768	181734	0	160	55884062	158113308
1981	5	648487	185583	0	161	51965492	158312011
1981	6	649210	141794	0	162	57182813	158516385
1981	7	649892	176662	0	163	54148961	158713253
1981	8	650577	160678	0	164	50139480	158915757
1981	9	651244	157558	0	165	52427300	159117325
1981	10	651871	201658	0	166	58529897	159311529
1981	11	652503	169362	0	167	63656818	159511313
1981	12	653097	303428	0	168	81649949	159703813
1982	1	653695	132285	0	169	46281209	159901871
1982	2	654276	145847	0	170	45597301	160099067
1982	3	654787	144972	0	171	53957198	160276448
1982	4	655337	180096	0	172	54571633	160472049
1982	5	655856	179212	0	173	50272058	160660558
1982	6	656377	215004	0	174	56377994	160854560
1982	7	656867	138595	0	175	50497114	161041552
1982	8	657360	152326	0	176	49452726	161234012
1982	9	657840	151718	0	177	52801916	161425710
1982	10	658291	218160	0	178	54857343	161610507
1982	11	658744	152839	0	179	65381399	161800745
1982	12	659172	299586	0	180	78013647	161984157
1983	1	659601	119830	0	181	44993022	162172991
1983	2	660020	136203	0	182	43727844	162361128
1983	3	660388	170258	0	183	54841981	162530473
1983	4	660785	142721	0	184	50841388	162717331
1983	5	661159	170303	0	185	51505006	162897538
1983	6	661537	194073	0	186	58576631	163083126
1983	7	661893	136776	0	187	47984659	163262128
1983	8	662252	154101	0	188	51190860	163446502
1983	9	662602	186528	0	189	51019490	163630272
1983	10	662933	191722	0	190	51907253	163807565
1983	11	663268	159333	0	191	65418934	163990207
1983	12	663584	230528	0	192	76204506	164166428
1984	1	663905	147840	0	193	46195200	164347991
1984	2	664218	132989	0	194	46419853	164529021
1984	3	664506	169811	0	195	51778696	164697912
1984	4	664808	135900	0	196	49528885	164877969
