YEAR	MONTH	POPN	SPIR	SPIROFF	MONTHN	SPIRSUM	POPSUM
1968	1	1811517	362433	0	1	38448283	122668730
1968	2	1812651	450906	0	2	40892275	122843794
1968	3	1813732	360545	0	3	47456672	123008526
1968	4	1814908	367057	0	4	41839056	123185652
1968	5	1816068	462397	0	5	49298219	123358096
1968	6	1817289	377920	0	6	43835984	123537370
1968	7	1818492	333886	0	7	43425027	123711914
1968	8	1819758	446211	0	8	46549207	123893371
1968	9	1821047	366103	0	9	44690013	124075957
1968	10	1822317	387619	0	10	50295146	124253741
1968	11	1823652	522005	0	11	55604576	124438583
1968	12	1824968	573614	0	12	68950670	124618569
1969	1	1826351	393599	0	13	41219070	124805711
1969	2	1827758	459613	0	14	41211852	124994035
1969	3	1829050	384790	0	15	47127269	125165164
1969	4	1830505	383587	0	16	48072496	125355783
1969	5	1831936	480252	0	17	49844363	125541404
1969	6	1833440	431253	0	18	51367929	125734426
1969	7	1834920	327538	0	19	47272798	125922407
1969	8	1836475	457776	0	20	45734986	126117882
1969	9	1838056	379622	0	21	43929158	126314621
1969	10	1839611	398773	0	22	51992775	126506230
1969	11	1841243	537641	0	23	54963214	126705496
1969	12	1842849	603919	0	24	73797871	126899561
1970	1	1844534	427877	0	25	44224204	127101389
1970	2	1846247	473851	0	26	41145472	127304537
1970	3	1847818	388027	0	27	50762947	127489169
1970	4	1849583	403001	0	28	50055566	127694861
1970	5	1851318	501598	0	29	47024301	127895203
1970	6	1853137	393297	0	30	48750370	128103532
1970	7	1854923	344663	0	31	47345919	128306392
1970	8	1856795	475067	0	32	44780312	128517288
1970	9	1858692	395968	0	33	48876648	128729453
1970	10	1860551	406504	0	34	51727291	128935961
1970	11	1862497	549656	0	35	55601402	129150560
1970	12	1864402	610298	0	36	80366083	129359392
1971	1	1866393	440905	0	37	42571236	129576349
1971	2	1868408	485722	0	38	42460710	129794468
1971	3	1870246	398782	0	39	51083960	129992470
1971	4	1872301	395220	0	40	49860847	130212749
1971	5	1874310	505640	0	41	48472524	130426976
1971	6	1876405	430183	0	42	55049721	130649410
1971	7	1878452	439658	0	43	49768226	130865682
1971	8	1880585	501002	0	44	48572500	131090184
1971	9	1882737	394532	0	45	48506719	131315708
1971	10	1884837	412154	0	46	52080629	131534906
1971	11	1887023	572004	0	47	61050763	131762374
1971	12	1889155	705380	0	48	80600824	131983421
1972	1	1891374	342472	0	49	42516957	132212749
1972	2	1893607	485962	0	50	42378640	132442996
1972	3	1895711	393214	0	51	52061163	132659199
1972	4	1897973	405559	0	52	45644447	132891164
1972	5	1900175	486110	0	53	50753298	133116447
1972	6	1902463	373345	0	54	55584667	133350064
1972	7	1904689	455893	0	55	45230396	133576914
1972	8	1907001	424473	0	56	47240424	133812111
1972	9	1909325	408868	0	57	47637431	134048069
1972	10	1911583	538950	0	58	50617153	134277133
1972	11	1913927	484956	0	59	60642711	134514551
1972	12	1916204	776745	0	60	78640146	134744973
1973	1	1918566	419436	0	61	46148032	134983759
1973	2	1920936	416490	0	62	43446289	135223203
1973	3	1923084	490828	0	63	52634920	135440031
1973	4	1925468	436069	0	64	48306019	135680684
1973	5	1927781	473117	0	65	53092531	135914148
1973	6	1930178	466575	0	66	53782465	136155966
1973	7	1932502	446362	0	67	47234948	136390517
1973	8	1934908	491707	0	68	52003121	136633419
1973	9	1937319	455922	0	69	46361754	136876840
1973	10	1939655	489254	0	70	54440734	137112883
1973	11	1942071	540008	0	71	62884189	137357264
1973	12	1944412	834787	0	72	78749814	137594194
1974	1	1946833	436974	0	73	46737501	137839448
1974	2	1949255	452405	0	74	44690814	138085124
1974	3	1951443	504501	0	75	53722116	138307353
1974	4	1953866	479754	0	76	52810420	138553755
1974	5	1956209	512072	0	77	53873722	138792546
1974	6	1958630	465337	0	78	53864591	139039618
1974	7	1960971	488978	0	79	51455989	139279019
1974	8	1963387	516018	0	80	51139793	139526684
1974	9	1965801	459281	0	81	47802370	139774617
1974	10	1968133	526842	0	82	56160589	140014789
1974	11	1970539	563827	0	83	62989816	140263186
1974	12	1972862	824595	0	84	78863279	140503772
1975	1	1975258	459233	0	85	49173119	140752558
1975	2	1977648	448375	0	86	42266517	141001504
1975	3	1979801	495195	0	87	51433648	141226486
1975	4	1982178	503671	0	88	52241813	141475689
1975	5	1984470	527819	0	89	53436089	141716949
1975	6	1986831	484492	0	90	56472873	141966331
1975	7	1989108	501025	0	91	52582773	142207724
1975	8	1991450	525633	0	92	50322444	142457205
1975	9	1993783	494866	0	93	51013036	142706708
1975	10	1996030	551438	0	94	57799585	142948157
1975	11	1998341	557232	0	95	62332892	143197632
1975	12	2000566	871566	0	96	83797634	143439013
1976	1	2002853	491012	0	97	47487323	143688383
1976	2	2005127	458746	0	98	44165435	143937660
1976	3	2007242	512839	0	99	56309357	144170762
1976	4	2009488	518257	0	100	51946944	144419813
1976	5	2011649	521225	0	101	51465386	144660687
1976	6	2013865	483709	0	102	57624996	144909432
1976	7	2015995	551603	0	103	51913304	145149966
1976	8	2018180	494923	0	104	50038305	145398307
1976	9	2020347	511841	0	105	52358874	145646422
1976	10	2022428	554863	0	106	54054291	145886287
1976	11	2024560	582002	0	107	66054361	146133881
1976	12	2026604	899704	0	108	84114270	146373207
1977	1	2028698	444372	0	109	43527374	146620198
1977	2	2030771	441596	0	110	42269310	146866849
1977	3	2032626	498805	0	111	55303971	147089332
1977	4	2034659	503634	0	112	50016637	147335280
1977	5	2036605	488295	0	113	49322585	147572919
1977	6	2038594	474020	0	114	58444772	147818068
1977	7	2040497	598832	0	115	46469518	148054888
1977	8	2042440	465645	0	116	50022439	148299147
1977	9	2044359	515273	0	117	51654903	148542929
1977	10	2046192	538940	0	118	52463964	148778362
1977	11	2048060	557830	0	119	66223394	149021130
1977	12	2049844	880243	0	120	82166610	149255545
1978	1	2051661	447329	0	121	45883428	149497214
1978	2	2053450	439949	0	122	45222388	149738294
1978	3	2055042	514414	0	123	57515335	149955529
1978	4	2056777	486848	0	124	50870511	150195438
1978	5	2058429	503271	0	125	51432907	150426988
1978	6	2060107	464545	0	126	58341626	150665598
1978	7	2061701	490843	0	127	47935373	150895852
1978	8	2063318	510291	0	128	53722430	151133080
1978	9	2064904	503906	0	129	51255487	151369579
1978	10	2066408	500693	0	130	56495830	151597732
1978	11	2067930	546385	0	131	66848106	151832726
1978	12	2069371	837085	0	132	79288972	152059377
1979	1	2070827	456177	0	133	48141918	152292783
1979	2	2072248	440683	0	134	45644962	152525354
1979	3	2073502	514559	0	135	56366636	152734677
1979	4	2074856	495205	0	136	51907720	152965594
1979	5	2076132	477437	0	137	53496685	153188202
1979	6	2077414	492458	0	138	55764807	153417326
1979	7	2078619	463112	0	139	48840879	153638163
1979	8	2079827	506295	0	140	54268936	153865420
1979	9	2080996	469540	0	141	50604463	154091690
1979	10	2082090	515509	0	142	58176041	154309700
1979	11	2083181	549931	0	143	66895116	154533976
1979	12	2084198	799074	0	144	81054253	154750017
1980	1	2085210	463531	0	145	49886493	154972212
1980	2	2086179	464358	0	146	48176331	155193318
1980	3	2087048	478470	0	147	52082797	155399157
1980	4	2087935	466888	0	148	53454827	155618098
1980	5	2088752	525677	0	149	52025492	155828887
1980	6	2089555	444677	0	150	56472473	156045583
1980	7	2090291	500793	0	151	54824922	156254216
1980	8	2091012	506034	0	152	51291160	156468720
1980	9	2091691	470327	0	153	52359278	156682123
1980	10	2092309	544671	0	154	57682680	156887618
1980	11	2092910	521291	0	155	64453022	157098906
1980	12	2093453	805579	0	156	82248104	157302379
1981	1	2093977	484185	0	157	49323253	157511614
1981	2	2094463	413505	0	158	46564612	157719825
1981	3	2094869	453204	0	159	53942710	157907014
1981	4	2095285	469629	0	160	55884062	158113308
1981	5	2095652	492030	0	161	51965492	158312011
1981	6	2095997	458475	0	162	57182813	158516385
1981	7	2096297	495848	0	163	54148961	158713253
1981	8	2096573	464393	0	164	50139480	158915757
1981	9	2096816	482990	0	165	52427300	159117325
1981	10	2097019	524278	0	166	58529897	159311529
1981	11	2097198	485892	0	167	63656818	159511313
1981	12	2097339	757859	0	168	81649949	159703813
1982	1	2097455	409854	0	169	46281209	159901871
1982	2	2097540	410348	0	170	45597301	160099067
1982	3	2097591	450919	0	171	53957198	160276448
1982	4	2097620	466197	0	172	54571633	160472049
1982	5	2097620	454494	0	173	50272058	160660558
1982	6	2097592	442338	0	174	56377994	160854560
1982	7	2097538	469448	0	175	50497114	161041552
1982	8	2097456	429674	0	176	49452726	161234012
1982	9	2097348	452560	0	177	52801916	161425710
1982	10	2097218	482080	0	178	54857343	161610507
1982	11	2097059	487043	0	179	65381399	161800745
1982	12	2096882	717642	0	180	78013647	161984157
1983	1	2096675	394725	0	181	44993022	162172991
1983	2	2096445	389952	0	182	43727844	162361128
1983	3	2096217	442489	0	183	54841981	162530473
1983	4	2095944	462948	0	184	50841388	162717331
1983	5	2095659	438829	0	185	51505006	162897538
1983	6	2095343	489029	0	186	58576631	163083126
1983	7	2095019	440725	0	187	47984659	163262128
