YEAR	MONTH	POPN	SPIR	SPIROFF	MONTHN	SPIRSUM	POPSUM
1968	1	632078	171587	0	1	38448283	122668730
1968	2	632578	177835	0	2	40892275	122843794
1968	3	633056	191469	0	3	47456672	123008526
1968	4	633580	183285	0	4	41839056	123185652
1968	5	634097	209496	0	5	49298219	123358096
1968	6	634645	219339	0	6	43835984	123537370
1968	7	635186	248790	0	7	43425027	123711914
1968	8	635757	317480	0	8	46549207	123893371
1968	9	636341	245535	0	9	44690013	124075957
1968	10	636919	196281	0	10	50295146	124253741
1968	11	637528	256167	0	11	55604576	124438583
1968	12	638130	254557	0	12	68950670	124618569
1969	1	638764	180938	0	13	41219070	124805711
1969	2	639412	213923	0	14	41211852	124994035
1969	3	640009	178562	0	15	47127269	125165164
1969	4	640682	177484	0	16	48072496	125355783
1969	5	641347	240080	0	17	49844363	125541404
1969	6	642047	220177	0	18	51367929	125734426
1969	7	642738	246717	0	19	47272798	125922407
1969	8	643466	322779	0	20	45734986	126117882
1969	9	644208	200626	0	21	43929158	126314621
1969	10	644939	207531	0	22	51992775	126506230
1969	11	645709	259813	0	23	54963214	126705496
1969	12	646468	265037	0	24	73797871	126899561
1970	1	647266	196831	0	25	44224204	127101389
1970	2	648079	228217	0	26	41145472	127304537
1970	3	648826	187560	0	27	50762947	127489169
1970	4	649668	191433	0	28	50055566	127694861
1970	5	650497	247845	0	29	47024301	127895203
1970	6	651368	233427	0	30	48750370	128103532
1970	7	652225	250730	0	31	47345919	128306392
1970	8	653124	328085	0	32	44780312	128517288
1970	9	654038	224340	0	33	48876648	128729453
1970	10	654937	214936	0	34	51727291	128935961
1970	11	655878	269858	0	35	55601402	129150560
1970	12	656803	267006	0	36	80366083	129359392
1971	1	657772	197897	0	37	42571236	129576349
1971	2	658754	224721	0	38	42460710	129794468
1971	3	659652	180304	0	39	51083960	129992470
1971	4	660660	186480	0	40	49860847	130212749
1971	5	661647	247477	0	41	48472524	130426976
1971	6	662679	230894	0	42	55049721	130649410
1971	7	663690	244193	0	43	49768226	130865682
1971	8	664747	329908	0	44	48572500	131090184
1971	9	665816	218912	0	45	48506719	131315708
1971	10	666862	210014	0	46	52080629	131534906
1971	11	667955	263806	0	47	61050763	131762374
1971	12	669023	275927	0	48	80600824	131983421
1972	1	670138	184115	0	49	42516957	132212749
1972	2	671264	224752	0	50	42378640	132442996
1972	3	672328	183189	0	51	52061163	132659199
1972	4	673476	186039	0	52	45644447	132891164
1972	5	674596	246689	0	53	50753298	133116447
1972	6	675765	255587	0	54	55584667	133350064
1972	7	676905	276449	0	55	45230396	133576914
1972	8	678094	329893	0	56	47240424	133812111
1972	9	679292	201588	0	57	47637431	134048069
1972	10	680461	210574	0	58	50617153	134277133
1972	11	681679	268030	0	59	60642711	134514551
1972	12	682866	288914	0	60	78640146	134744973
1973	1	684102	174105	0	61	46148032	134983759
1973	2	685346	240568	0	62	43446289	135223203
1973	3	686478	186568	0	63	52634920	135440031
1973	4	687740	193341	0	64	48306019	135680684
1973	5	688969	261964	0	65	53092531	135914148
1973	6	690247	227419	0	66	53782465	136155966
1973	7	691491	283708	0	67	47234948	136390517
1973	8	692785	347851	0	68	52003121	136633419
1973	9	694087	223935	0	69	46361754	136876840
1973	10	695353	226685	0	70	54440734	137112883
1973	11	696670	291149	0	71	62884189	137357264
1973	12	697950	307960	0	72	78749814	137594194
1974	1	699280	201666	0	73	46737501	137839448
1974	2	700618	256252	0	74	44690814	138085124
1974	3	701831	211370	0	75	53722116	138307353
1974	4	703180	215862	0	76	52810420	138553755
1974	5	704492	283563	0	77	53873722	138792546
1974	6	705854	246365	0	78	53864591	139039618
1974	7	707178	292630	0	79	51455989	139279019
1974	8	708551	366237	0	80	51139793	139526684
1974	9	709930	235749	0	81	47802370	139774617
1974	10	711269	237895	0	82	56160589	140014789
1974	11	712658	290404	0	83	62989816	140263186
1974	12	714007	299824	0	84	78863279	140503772
1975	1	715406	205434	0	85	49173119	140752558
1975	2	716809	252468	0	86	42266517	141001504
1975	3	718081	215129	0	87	51433648	141226486
1975	4	719493	211534	0	88	52241813	141475689
1975	5	720863	285422	0	89	53436089	141716949
1975	6	722282	266780	0	90	56472873	141966331
1975	7	723659	271659	0	91	52582773	142207724
1975	8	725086	377160	0	92	50322444	142457205
1975	9	726516	239137	0	93	51013036	142706708
1975	10	727903	236313	0	94	57799585	142948157
1975	11	729339	300050	0	95	62332892	143197632
1975	12	730732	313722	0	96	83797634	143439013
1976	1	732173	218653	0	97	47487323	143688383
1976	2	733617	266176	0	98	44165435	143937660
1976	3	734970	215787	0	99	56309357	144170762
1976	4	736418	222050	0	100	51946944	144419813
1976	5	737821	298343	0	101	51465386	144660687
1976	6	739273	273653	0	102	57624996	144909432
1976	7	740679	360535	0	103	51913304	145149966
1976	8	742133	310771	0	104	50038305	145398307
1976	9	743589	268868	0	105	52358874	145646422
1976	10	744998	258561	0	106	54054291	145886287
1976	11	746455	323833	0	107	66054361	146133881
1976	12	747866	341369	0	108	84114270	146373207
1977	1	749324	212459	0	109	43527374	146620198
1977	2	750783	268319	0	110	42269310	146866849
1977	3	752100	217509	0	111	55303971	147089332
1977	4	753558	222580	0	112	50016637	147335280
1977	5	754969	305547	0	113	49322585	147572919
1977	6	756427	303262	0	114	58444772	147818068
1977	7	757837	343216	0	115	46469518	148054888
1977	8	759293	312346	0	116	50022439	148299147
1977	9	760748	280675	0	117	51654903	148542929
1977	10	762155	263440	0	118	52463964	148778362
1977	11	763607	316809	0	119	66223394	149021130
1977	12	765011	346116	0	120	82166610	149255545
1978	1	766460	212801	0	121	45883428	149497214
1978	2	767907	279004	0	122	45222388	149738294
1978	3	769212	232875	0	123	57515335	149955529
1978	4	770655	231352	0	124	50870511	150195438
1978	5	772049	304883	0	125	51432907	150426988
1978	6	773486	322259	0	126	58341626	150665598
1978	7	774875	254176	0	127	47935373	150895852
1978	8	776307	383685	0	128	53722430	151133080
1978	9	777735	273529	0	129	51255487	151369579
1978	10	779114	255863	0	130	56495830	151597732
1978	11	780536	314842	0	131	66848106	151832726
1978	12	781908	349315	0	132	79288972	152059377
1979	1	783322	215320	0	133	48141918	152292783
1979	2	784732	284415	0	134	45644962	152525354
1979	3	786001	227756	0	135	56366636	152734677
1979	4	787402	234089	0	136	51907720	152965594
1979	5	788754	309907	0	137	53496685	153188202
1979	6	790146	358294	0	138	55764807	153417326
1979	7	791488	305519	0	139	48840879	153638163
1979	8	792870	385615	0	140	54268936	153865420
1979	9	794246	259232	0	141	50604463	154091690
1979	10	795572	269826	0	142	58176041	154309700
1979	11	796937	336286	0	143	66895116	154533976
1979	12	798252	353087	0	144	81054253	154750017
1980	1	799605	223775	0	145	49886493	154972212
1980	2	800952	286801	0	146	48176331	155193318
1980	3	802205	235400	0	147	52082797	155399157
1980	4	803539	245644	0	148	53454827	155618098
1980	5	804823	330116	0	149	52025492	155828887
1980	6	806143	293456	0	150	56472473	156045583
1980	7	807414	310365	0	151	54824922	156254216
1980	8	808721	407396	0	152	51291160	156468720
1980	9	810020	268240	0	153	52359278	156682123
1980	10	811272	274747	0	154	57682680	156887618
1980	11	812558	337775	0	155	64453022	157098906
1980	12	813796	347681	0	156	82248104	157302379
1981	1	815069	230539	0	157	49323253	157511614
1981	2	816336	294147	0	158	46564612	157719825
1981	3	817474	234328	0	159	53942710	157907014
1981	4	818727	252871	0	160	55884062	158113308
1981	5	819934	325110	0	161	51965492	158312011
1981	6	821174	310942	0	162	57182813	158516385
1981	7	822368	306071	0	163	54148961	158713253
1981	8	823595	398683	0	164	50139480	158915757
1981	9	824816	277150	0	165	52427300	159117325
1981	10	825991	260341	0	166	58529897	159311529
1981	11	827199	326224	0	167	63656818	159511313
1981	12	828361	336460	0	168	81649949	159703813
1982	1	829556	224859	0	169	46281209	159901871
1982	2	830745	281954	0	170	45597301	160099067
1982	3	831812	230150	0	171	53957198	160276448
1982	4	832989	241689	0	172	54571633	160472049
1982	5	834120	317553	0	173	50272058	160660558
1982	6	835284	302079	0	174	56377994	160854560
1982	7	836404	279787	0	175	50497114	161041552
1982	8	837554	391189	0	176	49452726	161234012
1982	9	838699	274266	0	177	52801916	161425710
1982	10	839800	264483	0	178	54857343	161610507
1982	11	840932	324474	0	179	65381399	161800745
1982	12	842022	344749	0	180	78013647	161984157
1983	1	843141	226535	0	181	44993022	162172991
1983	2	844254	283911	0	182	43727844	162361128
1983	3	845254	229744	0	183	54841981	162530473
1983	4	846356	236464	0	184	50841388	162717331
1983	5	847416	328374	0	185	51505006	162897538
1983	6	848505	331736	0	186	58576631	163083126
1983	7	849553	270901	0	187	47984659	163262128
1983	8	850630	399227	0	188	51190860	163446502
1983	9	851701	280442	0	189	51019490	163630272
1983	10	852732	268625	0	190	51907253	163807565
1983	11	853791	334841	0	191	65418934	163990207
1983	12	854810	351270	0	192	76204506	164166428
1984	1	855856	219327	0	193	46195200	164347991
1984	2	856897	283356	0	194	46419853	164529021
1984	3	857866	228978	0	195	51778696	164697912
1984	4	858895	236996	0	196	49528885	164877969
1984	5	859885	321565	0	197	51673535	165051744
1984	6	860903	368538	0	198	55218327	165230857
1984	7	861882	306310	0	199	47448080	165403759
1984	8	862888	376196	0	200	50199278	165581979
1984	9	863888	265716	0	201	49323374	165759768
1984	10	864850	264812	0	202	57179958	165931430
1984	11	865839	332646	0	203	63131946	166108417
1984	12	866790	338493	0	204	74392329	166279321
1985	1	867767	214030	0	205	42959975	166455555
1985	2	868738	276469	0	206	45564832	166631428
1985	3	869610	219001	0	207	47910483	166789983
1985	4	870570	227704	0	208	48881840	166965206
1985	5	871494	310305	0	209	51322612	167134477
1985	6	872443	270067	0	210	51072123	167309084
1985	7	873356	302375	0	211	48919771	167477783
1985	8	874294	384761	0	212	52985019	167651831
1985	9	875226	292579	0	213	74839784	167825611
1985	10	876123	218234	0	214	44303482	167993551
1985	11	877044	297005	0	215	49726488	168166855
1985	12	877930	309268	0	216	70847923	168334354
1986	1	878840	203264	0	217	38570915	168507235
1986	2	879744	253134	0	218	40974761	168679917
1986	3	880556	214169	0	219	46873333	168835736
1986	4	881450	220054	0	220	46065577	169008087
1986	5	882310	304493	0	221	46612056	169174726
1986	6	883193	278057	0	222	51272388	169346792
1986	7	884043	298675	0	223	49289197	169513185
1986	8	884915	386961	0	224	46393276	169685010
1986	9	885782	250270	0	225	48293691	169856733
1986	10	886616	247492	0	226	50030191	170022846
1986	11	887472	285188	0	227	55985545	170194419
1986	12	888296	313051	0	228	73895136	170360404
1987	1	889142	217708	0	229	40331227	170531882
1987	2	889982	262465	0	230	42364184	170703331
1987	3	890737	214346	0	231	47268227	170858176
1987	4	891567	217560	0	232	45829890	171029608
1987	5	892366	301532	0	233	45863135	171195517
1987	6	893186	286937	0	234	50373637	171366989
1987	7	893975	280224	0	235	45409094	171532963
1987	8	894784	375284	0	236	43712092	171704523
1987	9	895589	262070	0	237	47039488	171876151
1987	10	896363	239788	0	238	46683919	172042320
1987	11	897157	315766	0	239	56852785	172214120
1987	12	897921	313267	0	240	72725709	172380485
