YEAR	MONTH	POPN	SPIR	SPIROFF	MONTHN	SPIRSUM	POPSUM
1968	1	425402	112121	0	1	38448283	122668730
1968	2	425851	119204	0	2	40892275	122843794
1968	3	426281	135890	0	3	47456672	123008526
1968	4	426750	127597	0	4	41839056	123185652
1968	5	427214	144873	0	5	49298219	123358096
1968	6	427705	137922	0	6	43835984	123537370
1968	7	428190	143080	0	7	43425027	123711914
1968	8	428703	1618103	0	8	46549207	123893371
1968	9	429226	128367	0	9	44690013	124075957
1968	10	429743	150187	0	10	50295146	124253741
1968	11	430289	166142	0	11	55604576	124438583
1968	12	430828	245816	0	12	68950670	124618569
1969	1	431397	119021	0	13	41219070	124805711
1969	2	431977	121273	0	14	41211852	124994035
1969	3	432511	136434	0	15	47127269	125165164
1969	4	433114	137048	0	16	48072496	125355783
1969	5	433709	151092	0	17	49844363	125541404
1969	6	434335	138183	0	18	51367929	125734426
1969	7	434954	159388	0	19	47272798	125922407
1969	8	435605	159525	0	20	45734986	126117882
1969	9	436268	142557	0	21	43929158	126314621
1969	10	436922	175831	0	22	51992775	126506230
1969	11	437611	158518	0	23	54963214	126705496
1969	12	438289	271801	0	24	73797871	126899561
1970	1	439003	125846	0	25	44224204	127101389
1970	2	439730	122855	0	26	41145472	127304537
1970	3	440398	142479	0	27	50762947	127489169
1970	4	441150	171391	0	28	50055566	127694861
1970	5	441891	134158	0	29	47024301	127895203
1970	6	442669	142022	0	30	48750370	128103532
1970	7	443434	165481	0	31	47345919	128306392
1970	8	444237	150249	0	32	44780312	128517288
1970	9	445053	158533	0	33	48876648	128729453
1970	10	445854	176099	0	34	51727291	128935961
1970	11	446694	167802	0	35	55601402	129150560
1970	12	447517	293247	0	36	80366083	129359392
1971	1	448379	123249	0	37	42571236	129576349
1971	2	449253	133918	0	38	42460710	129794468
1971	3	450051	154077	0	39	51083960	129992470
1971	4	450945	181801	0	40	49860847	130212749
1971	5	451819	134187	0	41	48472524	130426976
1971	6	452734	153076	0	42	55049721	130649410
1971	7	453628	184516	0	43	49768226	130865682
1971	8	454561	162103	0	44	48572500	131090184
1971	9	455504	170757	0	45	48506719	131315708
1971	10	456425	181476	0	46	52080629	131534906
1971	11	457386	176644	0	47	61050763	131762374
1971	12	458324	307355	0	48	80600824	131983421
1972	1	459302	126693	0	49	42516957	132212749
1972	2	460287	141434	0	50	42378640	132442996
1972	3	461217	165673	0	51	52061163	132659199
1972	4	462218	151661	0	52	45644447	132891164
1972	5	463193	163590	0	53	50753298	133116447
1972	6	464209	173609	0	54	55584667	133350064
1972	7	465198	168721	0	55	45230396	133576914
1972	8	466227	178440	0	56	47240424	133812111
1972	9	467262	175681	0	57	47637431	134048069
1972	10	468269	170676	0	58	50617153	134277133
1972	11	469317	187849	0	59	60642711	134514551
1972	12	470336	303067	0	60	78640146	134744973
1973	1	471394	142118	0	61	46148032	134983759
1973	2	472457	146888	0	62	43446289	135223203
1973	3	473422	174719	0	63	52634920	135440031
1973	4	474495	153935	0	64	48306019	135680684
1973	5	475537	171760	0	65	53092531	135914148
1973	6	476618	184284	0	66	53782465	136155966
1973	7	477668	171806	0	67	47234948	136390517
1973	8	478757	197558	0	68	52003121	136633419
1973	9	479849	174483	0	69	46361754	136876840
1973	10	480909	185228	0	70	54440734	137112883
1973	11	482008	203911	0	71	62884189	137357264
1973	12	483073	298653	0	72	78749814	137594194
1974	1	484177	158837	0	73	46737501	137839448
1974	2	485283	153530	0	74	44690814	138085124
1974	3	486283	176784	0	75	53722116	138307353
1974	4	487393	168167	0	76	52810420	138553755
1974	5	488468	191405	0	77	53873722	138792546
1974	6	489580	177881	0	78	53864591	139039618
