YEAR	MONTH	POPN	SPIR	SPIROFF	MONTHN	SPIRSUM	POPSUM
1968	1	456260	216296	0	1	38448283	122668730
1968	2	457168	325043	0	2	40892275	122843794
1968	3	458026	259945	0	3	47456672	123008526
1968	4	458950	292541	0	4	41839056	123185652
1968	5	459853	382337	0	5	49298219	123358096
1968	6	460794	348231	0	6	43835984	123537370
1968	7	461713	415107	0	7	43425027	123711914
1968	8	462672	553370	0	8	46549207	123893371
1968	9	463639	328039	0	9	44690013	124075957
1968	10	464583	417243	0	10	50295146	124253741
1968	11	465567	372078	0	11	55604576	124438583
1968	12	466528	482411	0	12	68950670	124618569
1969	1	467530	316154	0	13	41219070	124805711
1969	2	468542	258831	0	14	41211852	124994035
1969	3	469463	284483	0	15	47127269	125165164
1969	4	470492	305325	0	16	48072496	125355783
1969	5	471497	399599	0	17	49844363	125541404
1969	6	472545	374066	0	18	51367929	125734426
1969	7	473568	574610	0	19	47272798	125922407
1969	8	474635	504540	0	20	45734986	126117882
1969	9	475712	363344	0	21	43929158	126314621
1969	10	476763	532298	0	22	51992775	126506230
1969	11	477859	425659	0	23	54963214	126705496
1969	12	478930	565215	0	24	73797871	126899561
1970	1	480046	376348	0	25	44224204	127101389
1970	2	481172	314384	0	26	41145472	127304537
1970	3	482198	335841	0	27	50762947	127489169
1970	4	483344	427721	0	28	50055566	127694861
1970	5	484463	379548	0	29	47024301	127895203
1970	6	485629	438745	0	30	48750370	128103532
1970	7	486768	657427	0	31	47345919	128306392
1970	8	487955	539755	0	32	44780312	128517288
1970	9	489151	459043	0	33	48876648	128729453
1970	10	490319	569025	0	34	51727291	128935961
1970	11	491535	495264	0	35	55601402	129150560
1970	12	492722	748175	0	36	80366083	129359392
1971	1	493957	309870	0	37	42571236	129576349
1971	2	495202	359871	0	38	42460710	129794468
1971	3	496334	366660	0	39	51083960	129992470
1971	4	497597	507321	0	40	49860847	130212749
1971	5	498828	459249	0	41	48472524	130426976
1971	6	500108	481139	0	42	55049721	130649410
1971	7	501356	772567	0	43	49768226	130865682
1971	8	502655	636199	0	44	48572500	131090184
1971	9	503962	652568	0	45	48506719	131315708
1971	10	505235	551544	0	46	52080629	131534906
1971	11	506559	565951	0	47	61050763	131762374
1971	12	507849	856523	0	48	80600824	131983421
1972	1	509190	335254	0	49	42516957	132212749
1972	2	510539	370713	0	50	42378640	132442996
1972	3	511808	515443	0	51	52061163	132659199
1972	4	513173	421628	0	52	45644447	132891164
1972	5	514501	483913	0	53	50753298	133116447
1972	6	515882	659839	0	54	55584667	133350064
1972	7	517225	614869	0	55	45230396	133576914
1972	8	518620	824728	0	56	47240424	133812111
1972	9	520023	491469	0	57	47637431	134048069
1972	10	521388	566957	0	58	50617153	134277133
1972	11	522806	714748	0	59	60642711	134514551
1972	12	524184	743204	0	60	78640146	134744973
1973	1	525616	336164	0	61	46148032	134983759
1973	2	527055	402729	0	62	43446289	135223203
1973	3	528360	486527	0	63	52634920	135440031
1973	4	529812	464792	0	64	48306019	135680684
1973	5	531223	614162	0	65	53092531	135914148
1973	6	532688	571735	0	66	53782465	136155966
1973	7	534111	822432	0	67	47234948	136390517
1973	8	535589	686741	0	68	52003121	136633419
1973	9	537072	509050	0	69	46361754	136876840
1973	10	538514	711238	0	70	54440734	137112883
1973	11	540010	605418	0	71	62884189	137357264
1973	12	541463	734873	0	72	78749814	137594194
1974	1	542970	421667	0	73	46737501	137839448
1974	2	544483	385556	0	74	44690814	138085124
1974	3	545854	394023	0	75	53722116	138307353
1974	4	547378	558223	0	76	52810420	138553755
1974	5	548858	487059	0	77	53873722	138792546
1974	6	550392	543851	0	78	53864591	139039618
1974	7	551881	818278	0	79	51455989	139279019
1974	8	553426	699306	0	80	51139793	139526684
1974	9	554975	509749	0	81	47802370	139774617
1974	10	556479	729411	0	82	56160589	140014789
1974	11	558038	610621	0	83	62989816	140263186
1974	12	559551	730890	0	84	78863279	140503772
1975	1	561119	449397	0	85	49173119	140752558
1975	2	562691	405431	0	86	42266517	141001504
1975	3	564115	427704	0	87	51433648	141226486
1975	4	565696	540750	0	88	52241813	141475689
1975	5	567230	517816	0	89	53436089	141716949
1975	6	568819	620469	0	90	56472873	141966331
1975	7	570360	883981	0	91	52582773	142207724
1975	8	571956	744397	0	92	50322444	142457205
1975	9	573556	545019	0	93	51013036	142706708
1975	10	575108	778693	0	94	57799585	142948157
1975	11	576715	635132	0	95	62332892	143197632
1975	12	578274	737342	0	96	83797634	143439013
1976	1	579888	482103	0	97	47487323	143688383
1976	2	581505	434360	0	98	44165435	143937660
1976	3	583020	413262	0	99	56309357	144170762
1976	4	584643	572185	0	100	51946944	144419813
1976	5	586216	525235	0	101	51465386	144660687
1976	6	587845	587700	0	102	57624996	144909432
1976	7	589423	818233	0	103	51913304	145149966
1976	8	591057	708925	0	104	50038305	145398307
1976	9	592693	604501	0	105	52358874	145646422
1976	10	594279	756602	0	106	54054291	145886287
1976	11	595919	609839	0	107	66054361	146133881
1976	12	597509	753695	0	108	84114270	146373207
1977	1	599154	464430	0	109	43527374	146620198
1977	2	600801	415897	0	110	42269310	146866849
1977	3	602289	400935	0	111	55303971	147089332
1977	4	603940	555644	0	112	50016637	147335280
1977	5	605538	524804	0	113	49322585	147572919
1977	6	607191	620115	0	114	58444772	147818068
1977	7	608792	963473	0	115	46469518	148054888
1977	8	610448	711216	0	116	50022439	148299147
1977	9	612105	547213	0	117	51654903	148542929
1977	10	613710	739684	0	118	52463964	148778362
1977	11	615369	628808	0	119	66223394	149021130
1977	12	616975	781442	0	120	82166610	149255545
1978	1	618636	430900	0	121	45883428	149497214
1978	2	620297	414020	0	122	45222388	149738294
1978	3	621798	448309	0	123	57515335	149955529
1978	4	623461	572312	0	124	50870511	150195438
1978	5	625070	534242	0	125	51432907	150426988
1978	6	626733	560666	0	126	58341626	150665598
1978	7	628342	909793	0	127	47935373	150895852
1978	8	630005	730580	0	128	53722430	151133080
1978	9	631668	549478	0	129	51255487	151369579
1978	10	633278	754095	0	130	56495830	151597732
1978	11	634940	610058	0	131	66848106	151832726
1978	12	636549	776313	0	132	79288972	152059377
1979	1	638210	445750	0	133	48141918	152292783
1979	2	639872	434861	0	134	45644962	152525354
1979	3	641371	410336	0	135	56366636	152734677
1979	4	643031	566042	0	136	51907720	152965594
1979	5	644636	506521	0	137	53496685	153188202
1979	6	646294	549241	0	138	55764807	153417326
1979	7	647897	774076	0	139	48840879	153638163
1979	8	649553	686833	0	140	54268936	153865420
1979	9	651207	519996	0	141	50604463	154091690
1979	10	652806	707387	0	142	58176041	154309700
1979	11	654458	585099	0	143	66895116	154533976
1979	12	656054	740132	0	144	81054253	154750017
1980	1	657702	451993	0	145	49886493	154972212
1980	2	659348	402673	0	146	48176331	155193318
1980	3	660886	399935	0	147	52082797	155399157
1980	4	662528	552342	0	148	53454827	155618098
1980	5	664115	502408	0	149	52025492	155828887
1980	6	665753	580147	0	150	56472473	156045583
1980	7	667336	811473	0	151	54824922	156254216
1980	8	668969	683230	0	152	51291160	156468720
1980	9	670600	521422	0	153	52359278	156682123
1980	10	672176	732996	0	154	57682680	156887618
1980	11	673802	570985	0	155	64453022	157098906
1980	12	675373	695703	0	156	82248104	157302379
1981	1	676995	469363	0	157	49323253	157511614
1981	2	678613	409216	0	158	46564612	157719825
1981	3	680073	398410	0	159	53942710	157907014
1981	4	681687	549330	0	160	55884062	158113308
1981	5	683246	476920	0	161	51965492	158312011
1981	6	684855	580235	0	162	57182813	158516385
1981	7	686409	792560	0	163	54148961	158713253
1981	8	688012	652312	0	164	50139480	158915757
1981	9	689612	565686	0	165	52427300	159117325
1981	10	691158	704049	0	166	58529897	159311529
1981	11	692752	578329	0	167	63656818	159511313
1981	12	694293	698029	0	168	81649949	159703813
1982	1	695881	470780	0	169	46281209	159901871
1982	2	697467	403558	0	170	45597301	160099067
1982	3	698896	387176	0	171	53957198	160276448
1982	4	700476	535008	0	172	54571633	160472049
1982	5	702002	497800	0	173	50272058	160660558
1982	6	703575	572402	0	174	56377994	160854560
1982	7	705095	755247	0	175	50497114	161041552
1982	8	706662	627759	0	176	49452726	161234012
1982	9	708226	566460	0	177	52801916	161425710
1982	10	709736	691151	0	178	54857343	161610507
1982	11	711293	553748	0	179	65381399	161800745
1982	12	712797	671348	0	180	78013647	161984157
1983	1	714347	466480	0	181	44993022	162172991
1983	2	715894	410336	0	182	43727844	162361128
1983	3	717288	385310	0	183	54841981	162530473
1983	4	718828	538660	0	184	50841388	162717331
1983	5	720315	512241	0	185	51505006	162897538
1983	6	721848	619407	0	186	58576631	163083126
1983	7	723328	738640	0	187	47984659	163262128
1983	8	724853	641027	0	188	51190860	163446502
1983	9	726375	577988	0	189	51019490	163630272
1983	10	727844	706034	0	190	51907253	163807565
1983	11	729358	552816	0	191	65418934	163990207
1983	12	730819	703516	0	192	76204506	164166428
1984	1	732326	500818	0	193	46195200	164347991
1984	2	733828	455333	0	194	46419853	164529021
1984	3	735230	492050	0	195	51778696	164697912
1984	4	736724	489916	0	196	49528885	164877969
1984	5	738166	487844	0	197	51673535	165051744
1984	6	739652	699872	0	198	55218327	165230857
1984	7	741087	631266	0	199	47448080	165403759
1984	8	742565	695506	0	200	50199278	165581979
1984	9	744038	513255	0	201	49323374	165759768
1984	10	745460	661767	0	202	57179958	165931430
1984	11	746925	615154	0	203	63131946	166108417
1984	12	748339	713814	0	204	74392329	166279321
1985	1	749795	454083	0	205	42959975	166455555
1985	2	751247	422275	0	206	45564832	166631428
1985	3	752555	371930	0	207	47910483	166789983
1985	4	753998	529577	0	208	48881840	166965206
1985	5	755390	488687	0	209	51322612	167134477
1985	6	756824	548916	0	210	51072123	167309084
1985	7	758208	821753	0	211	48919771	167477783
1985	8	759633	643463	0	212	52985019	167651831
1985	9	761053	652779	0	213	74839784	167825611
1985	10	762422	652382	0	214	44303482	167993551
1985	11	763833	517975	0	215	49726488	168166855
1985	12	765193	668814	0	216	70847923	168334354
1986	1	766594	438547	0	217	38570915	168507235
1986	2	767990	366943	0	218	40974761	168679917
1986	3	769246	394896	0	219	46873333	168835736
1986	4	770633	503694	0	220	46065577	169008087
1986	5	771969	485454	0	221	46612056	169174726
1986	6	773346	551079	0	222	51272388	169346792
1986	7	774673	733843	0	223	49289197	169513185
1986	8	776039	642139	0	224	46393276	169685010
1986	9	777399	509548	0	225	48293691	169856733
1986	10	778711	636777	0	226	50030191	170022846
1986	11	780061	545016	0	227	55985545	170194419
1986	12	781363	670325	0	228	73895136	170360404
1987	1	782703	454964	0	229	40331227	170531882
1987	2	784037	394039	0	230	42364184	170703331
1987	3	785237	384498	0	231	47268227	170858176
1987	4	786561	496442	0	232	45829890	171029608
1987	5	787836	480676	0	233	45863135	171195517
1987	6	789149	540536	0	234	50373637	171366989
1987	7	790414	733668	0	235	45409094	171532963
