YEAR	MONTH	POPN	SPIR	SPIROFF	MONTHN	SPIRSUM	POPSUM
1968	1	1137536	219784	0	1	38448283	122668730
1968	2	1138147	228169	0	2	40892275	122843794
1968	3	1138744	255567	0	3	47456672	123008526
1968	4	1139408	245724	0	4	41839056	123185652
1968	5	1140077	263891	0	5	49298219	123358096
1968	6	1140796	240459	0	6	43835984	123537370
1968	7	1141518	243832	0	7	43425027	123711914
1968	8	1142293	265667	0	8	46549207	123893371
1968	9	1143097	235055	0	9	44690013	124075957
1968	10	1143902	268892	0	10	50295146	124253741
1968	11	1144763	290573	0	11	55604576	124438583
1968	12	1145625	381255	0	12	68950670	124618569
1969	1	1146545	238152	0	13	41219070	124805711
1969	2	1147495	227889	0	14	41211852	124994035
1969	3	1148380	255426	0	15	47127269	125165164
1969	4	1149388	259277	0	16	48072496	125355783
1969	5	1150394	271195	0	17	49844363	125541404
1969	6	1151464	234239	0	18	51367929	125734426
1969	7	1152530	249848	0	19	47272798	125922407
1969	8	1153663	271011	0	20	45734986	126117882
1969	9	1154828	248180	0	21	43929158	126314621
1969	10	1155987	284122	0	22	51992775	126506230
1969	11	1157217	287069	0	23	54963214	126705496
1969	12	1158438	405837	0	24	73797871	126899561
1970	1	1159734	254012	0	25	44224204	127101389
1970	2	1161062	233977	0	26	41145472	127304537
1970	3	1162292	262539	0	27	50762947	127489169
1970	4	1163686	266198	0	28	50055566	127694861
1970	5	1165068	267822	0	29	47024301	127895203
1970	6	1166529	257177	0	30	48750370	128103532
1970	7	1167975	276427	0	31	47345919	128306392
1970	8	1169501	266391	0	32	44780312	128517288
1970	9	1171059	264976	0	33	48876648	128729453
1970	10	1172597	313691	0	34	51727291	128935961
1970	11	1174216	288558	0	35	55601402	129150560
1970	12	1175812	448533	0	36	80366083	129359392
1971	1	1177490	277509	0	37	42571236	129576349
1971	2	1179196	252333	0	38	42460710	129794468
1971	3	1180762	328919	0	39	51083960	129992470
1971	4	1182521	273463	0	40	49860847	130212749
1971	5	1184249	337218	0	41	48472524	130426976
1971	6	1186061	261113	0	42	55049721	130649410
1971	7	1187838	340827	0	43	49768226	130865682
1971	8	1189699	268984	0	44	48572500	131090184
1971	9	1191585	270563	0	45	48506719	131315708
1971	10	1193432	327722	0	46	52080629	131534906
1971	11	1195363	308867	0	47	61050763	131762374
1971	12	1197253	505766	0	48	80600824	131983421
1972	1	1199227	274598	0	49	42516957	132212749
1972	2	1201223	264387	0	50	42378640	132442996
1972	3	1203108	256767	0	51	52061163	132659199
1972	4	1205142	277556	0	52	45644447	132891164
1972	5	1207129	293758	0	53	50753298	133116447
1972	6	1209200	303927	0	54	55584667	133350064
1972	7	1211221	330060	0	55	45230396	133576914
1972	8	1213326	298732	0	56	47240424	133812111
1972	9	1215448	311985	0	57	47637431	134048069
1972	10	1217516	309550	0	58	50617153	134277133
1972	11	1219669	334163	0	59	60642711	134514551
1972	12	1221765	495312	0	60	78640146	134744973
1973	1	1223945	283807	0	61	46148032	134983759
1973	2	1226139	274100	0	62	43446289	135223203
1973	3	1228131	318725	0	63	52634920	135440031
1973	4	1230347	299348	0	64	48306019	135680684
1973	5	1232503	318538	0	65	53092531	135914148
1973	6	1234742	311458	0	66	53782465	136155966
1973	7	1236917	296928	0	67	47234948	136390517
1973	8	1239174	316672	0	68	52003121	136633419
1973	9	1241440	295570	0	69	46361754	136876840
1973	10	1243641	304638	0	70	54440734	137112883
1973	11	1245922	334601	0	71	62884189	137357264
1973	12	1248136	529326	0	72	78749814	137594194
1974	1	1250430	270168	0	73	46737501	137839448
1974	2	1252729	278470	0	74	44690814	138085124
1974	3	1254810	329933	0	75	53722116	138307353
1974	4	1257118	316622	0	76	52810420	138553755
1974	5	1259354	327940	0	77	53873722	138792546
1974	6	1261668	316347	0	78	53864591	139039618
1974	7	1263910	323471	0	79	51455989	139279019
1974	8	1266228	351181	0	80	51139793	139526684
1974	9	1268547	307478	0	81	47802370	139774617
1974	10	1270791	350372	0	82	56160589	140014789
1974	11	1273110	373738	0	83	62989816	140263186
1974	12	1275353	519685	0	84	78863279	140503772
1975	1	1277669	305779	0	85	49173119	140752558
1975	2	1279982	295097	0	86	42266517	141001504
1975	3	1282070	346080	0	87	51433648	141226486
1975	4	1284377	338490	0	88	52241813	141475689
1975	5	1286606	360769	0	89	53436089	141716949
1975	6	1288905	325871	0	90	56472873	141966331
1975	7	1291124	349414	0	91	52582773	142207724
1975	8	1293411	359001	0	92	50322444	142457205
1975	9	1295691	334714	0	93	51013036	142706708
1975	10	1297890	372330	0	94	57799585	142948157
1975	11	1300155	380453	0	95	62332892	143197632
1975	12	1302339	556638	0	96	83797634	143439013
1976	1	1304585	332197	0	97	47487323	143688383
1976	2	1306822	305636	0	98	44165435	143937660
1976	3	1308905	347309	0	99	56309357	144170762
1976	4	1311120	342451	0	100	51946944	144419813
1976	5	1313253	351009	0	101	51465386	144660687
1976	6	1315444	331616	0	102	57624996	144909432
1976	7	1317552	366181	0	103	51913304	145149966
1976	8	1319716	339430	0	104	50038305	145398307
1976	9	1321866	349230	0	105	52358874	145646422
1976	10	1323932	380495	0	106	54054291	145886287
1976	11	1326051	379977	0	107	66054361	146133881
1976	12	1328085	570318	0	108	84114270	146373207
1977	1	1330171	262362	0	109	43527374	146620198
1977	2	1332239	292506	0	110	42269310	146866849
1977	3	1334091	332652	0	111	55303971	147089332
1977	4	1336123	358298	0	112	50016637	147335280
1977	5	1338071	325142	0	113	49322585	147572919
1977	6	1340063	333971	0	114	58444772	147818068
1977	7	1341971	334122	0	115	46469518	148054888
1977	8	1343922	345730	0	116	50022439	148299147
1977	9	1345850	343695	0	117	51654903	148542929
1977	10	1347694	388434	0	118	52463964	148778362
1977	11	1349576	384764	0	119	66223394	149021130
1977	12	1351374	578668	0	120	82166610	149255545
1978	1	1353208	296935	0	121	45883428	149497214
1978	2	1355016	290000	0	122	45222388	149738294
1978	3	1356626	362394	0	123	57515335	149955529
1978	4	1358383	328521	0	124	50870511	150195438
1978	5	1360058	350131	0	125	51432907	150426988
1978	6	1361760	338867	0	126	58341626	150665598
1978	7	1363380	324350	0	127	47935373	150895852
1978	8	1365025	351082	0	128	53722430	151133080
1978	9	1366640	343531	0	129	51255487	151369579
1978	10	1368174	354622	0	130	56495830	151597732
1978	11	1369728	355251	0	131	66848106	151832726
1978	12	1371201	527060	0	132	79288972	152059377
1979	1	1372691	345421	0	133	48141918	152292783
1979	2	1374147	309193	0	134	45644962	152525354
1979	3	1375434	358709	0	135	56366636	152734677
1979	4	1376825	329583	0	136	51907720	152965594
1979	5	1378138	334902	0	137	53496685	153188202
1979	6	1379459	345696	0	138	55764807	153417326
1979	7	1380702	333766	0	139	48840879	153638163
1979	8	1381951	353249	0	140	54268936	153865420
1979	9	1383161	332287	0	141	50604463	154091690
1979	10	1384296	366746	0	142	58176041	154309700
1979	11	1385430	385441	0	143	66895116	154533976
1979	12	1386489	505370	0	144	81054253	154750017
1980	1	1387544	356939	0	145	49886493	154972212
1980	2	1388558	321388	0	146	48176331	155193318
1980	3	1389469	351735	0	147	52082797	155399157
1980	4	1390401	338285	0	148	53454827	155618098
1980	5	1391262	344567	0	149	52025492	155828887
1980	6	1392111	293943	0	150	56472473	156045583
1980	7	1392891	316467	0	151	54824922	156254216
1980	8	1393657	330588	0	152	51291160	156468720
1980	9	1394383	318155	0	153	52359278	156682123
1980	10	1395046	352860	0	154	57682680	156887618
1980	11	1395692	330667	0	155	64453022	157098906
1980	12	1396280	493805	0	156	82248104	157302379
1981	1	1396849	332070	0	157	49323253	157511614
1981	2	1397380	275049	0	158	46564612	157719825
1981	3	1397828	320350	0	159	53942710	157907014
1981	4	1398288	306006	0	160	55884062	158113308
1981	5	1398698	313607	0	161	51965492	158312011
1981	6	1399086	277919	0	162	57182813	158516385
1981	7	1399428	312748	0	163	54148961	158713253
1981	8	1399747	289651	0	164	50139480	158915757
1981	9	1400031	279958	0	165	52427300	159117325
1981	10	1400274	335256	0	166	58529897	159311529
1981	11	1400493	297191	0	167	63656818	159511313
1981	12	1400673	463098	0	168	81649949	159703813
