YEAR	MONTH	POPN	WINE	WINEOFF	MONTHN	WINESUM	POPSUM
1968	1	1811517	31340	0	1	10532899	122668730
1968	2	1812651	38834	0	2	10663709	122843794
1968	3	1813732	30659	0	3	13266957	123008526
1968	4	1814908	30659	0	4	10622152	123185652
1968	5	1816068	36790	0	5	11027527	123358096
1968	6	1817289	27933	0	6	10570372	123537370
1968	7	1818492	23164	0	7	9506183	123711914
1968	8	1819758	32021	0	8	10066211	123893371
1968	9	1821047	27252	0	9	10876277	124075957
1968	10	1822317	29977	0	10	12652426	124253741
1968	11	1823652	47010	0	11	12941981	124438583
1968	12	1824968	57911	0	12	13918959	124618569
1969	1	1826351	29674	0	13	9689778	124805711
1969	2	1827758	35730	0	14	9557698	124994035
1969	3	1829050	30280	0	15	12486612	125165164
1969	4	1830505	29674	0	16	10997229	125355783
1969	5	1831936	35125	0	17	10446712	125541404
1969	6	1833440	30280	0	18	10890189	125734426
1969	7	1834920	21196	0	19	10307843	125922407
1969	8	1836475	30280	0	20	10387673	126117882
1969	9	1838056	26646	0	21	11037741	126314621
1969	10	1839611	29069	0	22	11767595	126506230
1969	11	1841243	44814	0	23	11789141	126705496
1969	12	1842849	56321	0	24	15311003	126899561
1970	1	1844534	33308	0	25	11695705	127101389
1970	2	1846247	39364	0	26	10578731	127304537
1970	3	1847818	32702	0	27	14224664	127489169
1970	4	1849583	33308	0	28	11567368	127694861
1970	5	1851318	39364	0	29	11265769	127895203
1970	6	1853137	30280	0	30	12037109	128103532
1970	7	1854923	24830	0	31	10975896	128306392
1970	8	1856795	36942	0	32	10644026	128517288
1970	9	1858692	32097	0	33	12397844	128729453
1970	10	1860551	37547	0	34	13638112	128935961
1970	11	1862497	59349	0	35	14384208	129150560
1970	12	1864402	73278	0	36	17984503	129359392
1971	1	1866393	43603	0	37	13105790	129576349
1971	2	1868408	50870	0	38	12443865	129794468
1971	3	1870246	41786	0	39	15639016	129992470
1971	4	1872301	41181	0	40	13948784	130212749
1971	5	1874310	51476	0	41	12991938	130426976
1971	6	1876405	38758	0	42	14490801	130649410
1971	7	1878452	38153	0	43	12079298	130865682
1971	8	1880585	45420	0	44	12578310	131090184
1971	9	1882737	37547	0	45	13845833	131315708
1971	10	1884837	40575	0	46	14777249	131534906
1971	11	1887023	64194	0	47	17157252	131762374
1971	12	1889155	85390	0	48	20095625	131983421
1972	1	1891374	34576	0	49	12464364	132212749
1972	2	1893607	51590	0	50	12761831	132442996
1972	3	1895711	45004	0	51	16170582	132659199
1972	4	1897973	46650	0	52	13248087	132891164
1972	5	1900175	52138	0	53	14238718	133116447
1972	6	1902463	38418	0	54	15594314	133350064
1972	7	1904689	48297	0	55	11516547	133576914
1972	8	1907001	45004	0	56	13453901	133812111
1972	9	1909325	44455	0	57	13869907	134048069
1972	10	1911583	62566	0	58	15140984	134277133
1972	11	1913927	66408	0	59	17280304	134514551
1972	12	1916204	110314	0	60	18270385	134744973
1973	1	1918566	51590	0	61	14561974	134983759
1973	2	1920936	54334	0	62	13182775	135223203
1973	3	1923084	62017	0	63	16553660	135440031
1973	4	1925468	55431	0	64	14945606	135680684
1973	5	1927781	55431	0	65	15148671	135914148
1973	6	1930178	50492	0	66	14696984	136155966
1973	7	1932502	45004	0	67	12561674	136390517
1973	8	1934908	48845	0	68	14196457	136633419
1973	9	1937319	49394	0	69	13104294	136876840
1973	10	1939655	54334	0	70	16510304	137112883
1973	11	1942071	66408	0	71	16704587	137357264
1973	12	1944412	112509	0	72	17519594	137594194
1974	1	1946833	49394	0	73	14508189	137839448
1974	2	1949255	51590	0	74	12557117	138085124
1974	3	1951443	59273	0	75	16059720	138307353
1974	4	1953866	55980	0	76	14883584	138553755
1974	5	1956209	55431	0	77	14834740	138792546
1974	6	1958630	48845	0	78	14689849	139039618
1974	7	1960971	46101	0	79	13422065	139279019
1974	8	1963387	52687	0	80	14618503	139526684
1974	9	1965801	48297	0	81	13371573	139774617
1974	10	1968133	58175	0	82	16533903	140014789
1974	11	1970539	74640	0	83	16155765	140263186
1974	12	1972862	119644	0	84	19758248	140503772
1975	1	1975258	54334	0	85	14658019	140752558
1975	2	1977648	55980	0	86	13382002	141001504
1975	3	1979801	64213	0	87	17225425	141226486
1975	4	1982178	61468	0	88	15264469	141475689
1975	5	1984470	60920	0	89	15020791	141716949
1975	6	1986831	52687	0	90	15635475	141966331
1975	7	1989108	53236	0	91	14718394	142207724
1975	8	1991450	58724	0	92	13925340	142457205
1975	9	1993783	57627	0	93	14802360	142706708
1975	10	1996030	68054	0	94	17768212	142948157
1975	11	1998341	78482	0	95	17335733	143197632
1975	12	2000566	131169	0	96	21383319	143439013
1976	1	2002853	62017	0	97	14726617	143688383
1976	2	2005127	59273	0	98	13529636	143937660
1976	3	2007242	66408	0	99	18692429	144170762
1976	4	2009488	68603	0	100	16082767	144419813
1976	5	2011649	67505	0	101	15228796	144660687
1976	6	2013865	58724	0	102	16592628	144909432
1976	7	2015995	65859	0	103	13993391	145149966
1976	8	2018180	59273	0	104	14731561	145398307
1976	9	2020347	63115	0	105	15819336	145646422
1976	10	2022428	74640	0	106	16393953	145886287
1976	11	2024560	85068	0	107	19162772	146133881
1976	12	2026604	149829	0	108	21388259	146373207
1977	1	2028698	57127	0	109	12700750	146620198
