YEAR	MONTH	POPN	WINE	WINEOFF	MONTHN	WINESUM	POPSUM
1968	1	425402	16351	0	1	10532899	122668730
1968	2	425851	17033	0	2	10663709	122843794
1968	3	426281	19076	0	3	13266957	123008526
1968	4	426750	19076	0	4	10622152	123185652
1968	5	427214	19758	0	5	11027527	123358096
1968	6	427705	18395	0	6	10570372	123537370
1968	7	428190	17714	0	7	9506183	123711914
1968	8	428703	20439	0	8	10066211	123893371
1968	9	429226	17033	0	9	10876277	124075957
1968	10	429743	19758	0	10	12652426	124253741
1968	11	430289	25889	0	11	12941981	124438583
1968	12	430828	34065	0	12	13918959	124618569
1969	1	431397	15140	0	13	9689778	124805711
1969	2	431977	15746	0	14	9557698	124994035
1969	3	432511	17562	0	15	12486612	125165164
1969	4	433114	17562	0	16	10997229	125355783
1969	5	433709	18168	0	17	10446712	125541404
1969	6	434335	16351	0	18	10890189	125734426
1969	7	434954	18168	0	19	10307843	125922407
1969	8	435605	18168	0	20	10387673	126117882
1969	9	436268	19379	0	21	11037741	126314621
1969	10	436922	18168	0	22	11767595	126506230
1969	11	437611	23618	0	23	11789141	126705496
1969	12	438289	33914	0	24	15311003	126899561
1970	1	439003	16957	0	25	11695705	127101389
1970	2	439730	16351	0	26	10578731	127304537
1970	3	440398	19379	0	27	14224664	127489169
1970	4	441150	19985	0	28	11567368	127694861
1970	5	441891	18774	0	29	11265769	127895203
1970	6	442669	18168	0	30	12037109	128103532
1970	7	443434	18774	0	31	10975896	128306392
1970	8	444237	17562	0	32	10644026	128517288
1970	9	445053	18774	0	33	12397844	128729453
1970	10	445854	21802	0	34	13638112	128935961
1970	11	446694	25435	0	35	14384208	129150560
1970	12	447517	41181	0	36	17984503	129359392
1971	1	448379	18168	0	37	13105790	129576349
1971	2	449253	19985	0	38	12443865	129794468
1971	3	450051	23618	0	39	15639016	129992470
1971	4	450945	26041	0	40	13948784	130212749
1971	5	451819	16351	0	41	12991938	130426976
1971	6	452734	21802	0	42	14490801	130649410
1971	7	453628	23618	0	43	12079298	130865682
1971	8	454561	19985	0	44	12578310	131090184
1971	9	455504	21802	0	45	13845833	131315708
1971	10	456425	24224	0	46	14777249	131534906
1971	11	457386	29069	0	47	17157252	131762374
1971	12	458324	44814	0	48	20095625	131983421
1972	1	459302	18111	0	49	12464364	132212749
1972	2	460287	20855	0	50	12761831	132442996
1972	3	461217	25246	0	51	16170582	132659199
1972	4	462218	23599	0	52	13248087	132891164
1972	5	463193	25246	0	53	14238718	133116447
1972	6	464209	25246	0	54	15594314	133350064
1972	7	465198	24697	0	55	11516547	133576914
1972	8	466227	25795	0	56	13453901	133812111
1972	9	467262	25795	0	57	13869907	134048069
1972	10	468269	26344	0	58	15140984	134277133
1972	11	469317	33478	0	59	17280304	134514551
1972	12	470336	48845	0	60	18270385	134744973
1973	1	471394	25246	0	61	14561974	134983759
1973	2	472457	25795	0	62	13182775	135223203
1973	3	473422	30185	0	63	16553660	135440031
1973	4	474495	26892	0	64	14945606	135680684
1973	5	475537	26892	0	65	15148671	135914148
1973	6	476618	28539	0	66	14696984	136155966
1973	7	477668	24148	0	67	12561674	136390517
1973	8	478757	27441	0	68	14196457	136633419
1973	9	479849	25795	0	69	13104294	136876840
1973	10	480909	27441	0	70	16510304	137112883
1973	11	482008	35125	0	71	16704587	137357264
1973	12	483073	46101	0	72	17519594	137594194
1974	1	484177	26892	0	73	14508189	137839448
1974	2	485283	24148	0	74	12557117	138085124
1974	3	486283	28539	0	75	16059720	138307353
1974	4	487393	27441	0	76	14883584	138553755
1974	5	488468	28539	0	77	14834740	138792546
1974	6	489580	26344	0	78	14689849	139039618
1974	7	490657	23599	0	79	13422065	139279019
1974	8	491771	29088	0	80	14618503	139526684
1974	9	492885	23051	0	81	13371573	139774617
1974	10	493964	30734	0	82	16533903	140014789
1974	11	495079	37869	0	83	16155765	140263186
1974	12	496157	50492	0	84	19758248	140503772
1975	1	497271	25795	0	85	14658019	140752558
1975	2	498384	26344	0	86	13382002	141001504
1975	3	499389	31283	0	87	17225425	141226486
1975	4	500500	30185	0	88	15264469	141475689
1975	5	501574	33478	0	89	15020791	141716949
1975	6	502682	29088	0	90	15635475	141966331
1975	7	503752	31832	0	91	14718394	142207724
1975	8	504856	30185	0	92	13925340	142457205
1975	9	505958	29088	0	93	14802360	142706708
1975	10	507021	34027	0	94	17768212	142948157
1975	11	508117	38967	0	95	17335733	143197632
1975	12	509174	58175	0	96	21383319	143439013
1976	1	510264	30185	0	97	14726617	143688383
1976	2	511349	29637	0	98	13529636	143937660
1976	3	512361	33478	0	99	18692429	144170762
1976	4	513439	34576	0	100	16082767	144419813
1976	5	514478	32930	0	101	15228796	144660687
1976	6	515547	32930	0	102	16592628	144909432
1976	7	516576	37869	0	103	13993391	145149966
1976	8	517635	35674	0	104	14731561	145398307
1976	9	518689	34027	0	105	15819336	145646422
1976	10	519703	36771	0	106	16393953	145886287
1976	11	520745	42260	0	107	19162772	146133881
1976	12	521747	64213	0	108	21388259	146373207
1977	1	522777	26855	0	109	12700750	146620198
1977	2	523800	29784	0	110	12458573	146866849
1977	3	524717	34667	0	111	17807512	147089332
1977	4	525727	35155	0	112	13861845	147335280
1977	5	526697	35643	0	113	14212905	147572919
1977	6	527691	37596	0	114	15554168	147818068
1977	7	528646	33202	0	115	13394573	148054888
1977	8	529625	34179	0	116	14849604	148299147
1977	9	530596	34179	0	117	14719238	148542929
1977	10	531527	33690	0	118	15619601	148778362
1977	11	532480	42967	0	119	17827044	149021130
1977	12	533393	63474	0	120	20051090	149255545
1978	1	534328	27343	0	121	13996113	149497214
1978	2	535254	31249	0	122	13594276	149738294
1978	3	536081	40526	0	123	18495966	149955529
1978	4	536987	34179	0	124	15008292	150195438
1978	5	537854	36620	0	125	15932088	150426988
1978	6	538739	37596	0	126	16989183	150665598
1978	7	539586	35155	0	127	14782227	150895852
1978	8	540450	39061	0	128	15860799	151133080
1978	9	541302	36132	0	129	15342751	151369579
1978	10	542116	37108	0	130	17319246	151597732
1978	11	542946	47362	0	131	18718126	151832726
1978	12	543737	67381	0	132	20119449	152059377
1979	1	544542	31249	0	133	15936479	152292783
1979	2	545334	34667	0	134	13584997	152525354
1979	3	546039	41991	0	135	18520869	152734677
1979	4	546807	35155	0	136	16409610	152965594
1979	5	547538	39061	0	137	16996020	153188202
1979	6	548279	38085	0	138	16795341	153417326
1979	7	548983	373523	1	139	15186019	153638163
1979	8	549697	98630	1	140	15796837	153865420
