YEAR	MONTH	POPN	WINE	WINEOFF	MONTHN	WINESUM	POPSUM
1968	1	456260	22483	0	1	10532899	122668730
1968	2	457168	37472	0	2	10663709	122843794
1968	3	458026	29296	0	3	13266957	123008526
1968	4	458950	31340	0	4	10622152	123185652
1968	5	459853	37472	0	5	11027527	123358096
1968	6	460794	31340	0	6	10570372	123537370
1968	7	461713	31340	0	7	9506183	123711914
1968	8	462672	45647	0	8	10066211	123893371
1968	9	463639	30659	0	9	10876277	124075957
1968	10	464583	41559	0	10	12652426	124253741
1968	11	465567	40878	0	11	12941981	124438583
1968	12	466528	50416	0	12	13918959	124618569
1969	1	467530	33914	0	13	9689778	124805711
1969	2	468542	28463	0	14	9557698	124994035
1969	3	469463	30886	0	15	12486612	125165164
1969	4	470492	30886	0	16	10997229	125355783
1969	5	471497	36942	0	17	10446712	125541404
1969	6	472545	30886	0	18	10890189	125734426
1969	7	473568	44814	0	19	10307843	125922407
1969	8	474635	39970	0	20	10387673	126117882
1969	9	475712	33308	0	21	11037741	126314621
1969	10	476763	51476	0	22	11767595	126506230
1969	11	477859	46026	0	23	11789141	126705496
1969	12	478930	55715	0	24	15311003	126899561
1970	1	480046	45420	0	25	11695705	127101389
1970	2	481172	37547	0	26	10578731	127304537
1970	3	482198	40575	0	27	14224664	127489169
1970	4	483344	48448	0	28	11567368	127694861
1970	5	484463	39364	0	29	11265769	127895203
1970	6	485629	42998	0	30	12037109	128103532
1970	7	486768	61166	0	31	10975896	128306392
1970	8	487955	52082	0	32	10644026	128517288
1970	9	489151	49054	0	33	12397844	128729453
1970	10	490319	66616	0	34	13638112	128935961
1970	11	491535	64194	0	35	14384208	129150560
1970	12	492722	93262	0	36	17984503	129359392
1971	1	493957	46631	0	37	13105790	129576349
1971	2	495202	53898	0	38	12443865	129794468
1971	3	496334	55110	0	39	15639016	129992470
1971	4	497597	72066	0	40	13948784	130212749
1971	5	498828	59954	0	41	12991938	130426976
1971	6	500108	56926	0	42	14490801	130649410
1971	7	501356	84784	0	43	12079298	130865682
1971	8	502655	71461	0	44	12578310	131090184
1971	9	503962	78122	0	45	13845833	131315708
1971	10	505235	69038	0	46	14777249	131534906
1971	11	506559	76911	0	47	17157252	131762374
1971	12	507849	115064	0	48	20095625	131983421
1972	1	509190	47748	0	49	12464364	132212749
1972	2	510539	51590	0	50	12761831	132442996
1972	3	511808	71347	0	51	16170582	132659199
1972	4	513173	51590	0	52	13248087	132891164
1972	5	514501	55431	0	53	14238718	133116447
1972	6	515882	72994	0	54	15594314	133350064
1972	7	517225	63664	0	55	11516547	133576914
1972	8	518620	90556	0	56	13453901	133812111
1972	9	520023	57078	0	57	13869907	134048069
1972	10	521388	69152	0	58	15140984	134277133
1972	11	522806	92751	0	59	17280304	134514551
1972	12	524184	96044	0	60	18270385	134744973
1973	1	525616	48297	0	61	14561974	134983759
1973	2	527055	57627	0	62	13182775	135223203
1973	3	528360	67505	0	63	16553660	135440031
1973	4	529812	59273	0	64	14945606	135680684
1973	5	531223	74640	0	65	15148671	135914148
1973	6	532688	64213	0	66	14696984	136155966
1973	7	534111	90556	0	67	12561674	136390517
1973	8	535589	77384	0	68	14196457	136633419
1973	9	537072	62017	0	69	13104294	136876840
1973	10	538514	92203	0	70	16510304	137112883
1973	11	540010	85617	0	71	16704587	137357264
1973	12	541463	102630	0	72	17519594	137594194
1974	1	542970	65859	0	73	14508189	137839448
1974	2	544483	57627	0	74	12557117	138085124
1974	3	545854	58175	0	75	16059720	138307353
1974	4	547378	77384	0	76	14883584	138553755
1974	5	548858	63115	0	77	14834740	138792546
1974	6	550392	64761	0	78	14689849	139039618
1974	7	551881	95496	0	79	13422065	139279019
1974	8	553426	83421	0	80	14618503	139526684
1974	9	554975	64213	0	81	13371573	139774617
1974	10	556479	98789	0	82	16533903	140014789
1974	11	558038	99886	0	83	16155765	140263186
1974	12	559551	113607	0	84	19758248	140503772
1975	1	561119	81775	0	85	14658019	140752558
1975	2	562691	72445	0	86	13382002	141001504
1975	3	564115	76836	0	87	17225425	141226486
1975	4	565696	90556	0	88	15264469	141475689
1975	5	567230	71347	0	89	15020791	141716949
1975	6	568819	82873	0	90	15635475	141966331
1975	7	570360	114704	0	91	14718394	142207724
1975	8	571956	108667	0	92	13925340	142457205
1975	9	573556	83970	0	93	14802360	142706708
1975	10	575108	128974	0	94	17768212	142948157
1975	11	576715	114704	0	95	17335733	143197632
1975	12	578274	124034	0	96	21383319	143439013
1976	1	579888	98789	0	97	14726617	143688383
1976	2	581505	84519	0	98	13529636	143937660
1976	3	583020	79580	0	99	18692429	144170762
1976	4	584643	104277	0	100	16082767	144419813
1976	5	586216	87812	0	101	15228796	144660687
1976	6	587845	90007	0	102	16592628	144909432
1976	7	589423	125681	0	103	13993391	145149966
1976	8	591057	117449	0	104	14731561	145398307
1976	9	592693	100435	0	105	15819336	145646422
1976	10	594279	135560	0	106	16393953	145886287
1976	11	595919	118546	0	107	19162772	146133881
1976	12	597509	132267	0	108	21388259	146373207
1977	1	599154	96676	0	109	12700750	146620198
1977	2	600801	84958	0	110	12458573	146866849
1977	3	602289	74705	0	111	17807512	147089332
1977	4	603940	98141	0	112	13861845	147335280
1977	5	605538	82029	0	113	14212905	147572919
1977	6	607191	95212	0	114	15554168	147818068
1977	7	608792	143062	0	115	13394573	148054888
1977	8	610448	110836	0	116	14849604	148299147
1977	9	612105	89352	0	117	14719238	148542929
1977	10	613710	125972	0	118	15619601	148778362
1977	11	615369	113277	0	119	17827044	149021130
1977	12	616975	136226	0	120	20051090	149255545
1978	1	618636	91794	0	121	13996113	149497214
1978	2	620297	87399	0	122	13594276	149738294
1978	3	621798	93259	0	123	18495966	149955529
1978	4	623461	108883	0	124	15008292	150195438
1978	5	625070	89352	0	125	15932088	150426988
1978	6	626733	88864	0	126	16989183	150665598
1978	7	628342	145015	0	127	14782227	150895852
1978	8	630005	145991	1	128	15860799	151133080
1978	9	631668	88376	1	129	15342751	151369579
1978	10	633278	140132	1	130	17319246	151597732
1978	11	634940	138179	1	131	18718126	151832726
1978	12	636549	181635	1	132	20119449	152059377
1979	1	638210	132808	1	133	15936479	152292783
1979	2	639872	116207	1	134	13584997	152525354
1979	3	641371	110836	1	135	18520869	152734677
1979	4	643031	139156	1	136	16409610	152965594
1979	5	644636	110348	1	137	16996020	153188202
1979	6	646294	123043	1	138	16795341	153417326
1979	7	647897	162104	1	139	15186019	153638163
1979	8	649553	139156	1	140	15796837	153865420
1979	9	651207	127925	1	141	15300273	154091690
1979	10	652806	172846	1	142	18997413	154309700
1979	11	654458	146968	1	143	20324518	154533976
1979	12	656054	160639	1	144	21432881	154750017
1980	1	657702	147944	1	145	16492127	154972212
1980	2	659348	105954	1	146	15218733	155193318
1980	3	660886	107907	1	147	18706408	155399157
1980	4	662528	139644	1	148	17364654	155618098
1980	5	664115	118648	1	149	17867084	155828887
1980	6	665753	136226	1	150	17480371	156045583
1980	7	667336	169428	1	151	17969618	156254216
1980	8	668969	141597	1	152	16336860	156468720
1980	9	670600	121578	1	153	16964765	156682123
1980	10	672176	174799	1	154	21301534	156887618
1980	11	673802	156245	1	155	20702438	157098906
1980	12	675373	155268	1	156	24545082	157302379
1981	1	676995	141109	1	157	17202550	157511614
1981	2	678613	105465	1	158	15856893	157719825
1981	3	680073	105954	1	159	19395351	157907014
1981	4	681687	140620	1	160	18966653	158113308
1981	5	683246	119625	1	161	18082895	158312011
1981	6	684855	144038	1	162	19304044	158516385
1981	7	686409	159663	1	163	17848036	158713253
1981	8	688012	141109	1	164	16889090	158915757
1981	9	689612	134273	1	165	19415856	159117325
1981	10	691158	176264	1	166	21168244	159311529
1981	11	692752	157221	1	167	22621806	159511313
1981	12	694293	154780	1	168	25927363	159703813
1982	1	695881	132320	1	169	16409125	159901871
1982	2	697467	114742	1	170	16736749	160099067
1982	3	698896	109371	1	171	21170192	160276448
1982	4	700476	141597	1	172	19213227	160472049
1982	5	702002	115231	1	173	18683949	160660558
1982	6	703575	153803	1	174	20783978	160854560
1982	7	705095	141109	1	175	17166420	161041552
1982	8	706662	153803	1	176	17997449	161234012
1982	9	708226	126461	1	177	19116063	161425710
1982	10	709736	173334	1	178	20600387	161610507
1982	11	711293	152827	1	179	23867858	161800745
1982	12	712797	161616	1	180	26018669	161984157
1983	1	714347	127437	1	181	15930135	162172991
1983	2	715894	112789	1	182	16707936	162361128
1983	3	717288	115231	1	183	20945589	162530473
1983	4	718828	135738	1	184	20075013	162717331
1983	5	720315	123531	1	185	20159486	162897538
1983	6	721848	158198	1	186	21712168	163083126
1983	7	723328	131832	1	187	17678610	163262128
1983	8	724853	143550	1	188	18690297	163446502
1983	9	726375	119625	1	189	19387540	163630272
1983	10	727844	166987	1	190	20557420	163807565
1983	11	729358	140132	1	191	24749663	163990207
1983	12	730819	167475	1	192	26029897	164166428
1984	1	732326	143550	1	193	17048261	164347991
1984	2	733828	113766	1	194	17619043	164529021
1984	3	735230	116207	1	195	20447071	164697912
1984	4	736724	138179	1	196	20943149	164877969
1984	5	738166	124508	1	197	21603283	165051744
1984	6	739652	171381	1	198	21370873	165230857
1984	7	741087	158119	1	199	19508627	165403759
1984	8	742565	144264	1	200	21265404	165581979
1984	9	744038	130013	1	201	19508629	165759768
1984	10	745460	153522	1	202	23300981	165931430
1984	11	746925	166010	1	203	25193982	166108417
1984	12	748339	177728	1	204	26028919	166279321
1985	1	749795	122555	1	205	17145911	166455555
1985	2	751247	107907	1	206	17632224	166631428
1985	3	752555	107418	1	207	20931921	166789983
1985	4	753998	134273	1	208	21576431	166965206
1985	5	755390	116207	1	209	22594949	167134477
1985	6	756824	148921	1	210	23440626	167309084
1985	7	758208	154292	1	211	23279497	167477783
1985	8	759633	135738	1	212	23730657	167651831
1985	9	761053	118648	1	213	20267392	167825611
1985	10	762422	163081	1	214	23256063	167993551
1985	11	763833	138667	1	215	25019675	168166855
1985	12	765193	166987	1	216	27464906	168334354
1986	1	766594	130855	1	217	17957407	168507235
1986	2	767990	105954	1	218	17735738	168679917
1986	3	769246	112301	1	219	21456316	168835736
1986	4	770633	146480	1	220	22699928	169008087
1986	5	771969	104977	1	221	23228231	169174726
1986	6	773346	140132	1	222	25678833	169346792
1986	7	774673	154780	1	223	25518681	169513185
1986	8	776039	140620	1	224	23631538	169685010
1986	9	777399	121090	1	225	21484635	169856733
1986	10	778711	163569	1	226	22861055	170022846
1986	11	780061	144038	1	227	24070486	170194419
1986	12	781363	173334	1	228	27992719	170360404
1987	1	782703	133785	1	229	17762594	170531882
1987	2	784037	112789	1	230	18338257	170703331
1987	3	785237	106442	1	231	23244341	170858176
1987	4	786561	137202	1	232	22980195	171029608
1987	5	787836	113766	1	233	23049038	171195517
1987	6	789149	131832	1	234	24890285	171366989
1987	7	790414	146480	1	235	23900083	171532963
1987	8	791715	130855	1	236	20383597	171704523
1987	9	793011	125972	1	237	21530048	171876151
1987	10	794260	159663	1	238	21520280	172042320
1987	11	795544	143550	1	239	23492868	172214120
1987	12	796781	169428	1	240	27638241	172380485
1988	1	798054	134761	1	241	19491046	172552514
1988	2	799321	107907	1	242	17190346	172724679
1988	3	800500	106930	1	243	23289750	172885874
1988	4	801755	134761	1	244	20491992	173058349
1988	5	802964	118160	1	245	22079346	173225429
1988	6	804207	142085	1	246	24520179	173398263
1988	7	805404	134273	1	247	20462209	173565718
1988	8	806635	124508	1	248	21405538	173738977
1988	9	807860	123043	1	249	18794298	173912466
1988	10	809039	157221	1	250	19479334	174080593
1988	11	810252	145991	1	251	23453810	174254590
1988	12	811419	175287	1	252	26128524	174423225
1989	1	812619	131343	1	253	15687466	174597771
1989	2	813812	102536	1	254	16435978	174772620
1989	3	814885	120601	1	255	20767865	174930824
1989	4	816066	135249	1	256	18693713	175106290
1989	5	817202	116207	1	257	21217557	175276424
1989	6	818370	150386	1	258	24444989	175452583
1989	7	819494	169428	1	259	18726428	175623413
1989	8	820649	140132	1	260	19760573	175800313
1989	9	821798	119137	1	261	18353392	175977614
1989	10	822902	164545	1	262	19570639	176149592
1989	11	824037	153803	1	263	22525618	176327726
1989	12	825129	181635	1	264	26347268	176500531
1990	1	826251	120601	1	265	16540467	176679544
1990	2	827365	113766	1	266	16285592	176859026
1990	3	828366	108395	1	267	20259580	177021557
1990	4	829467	136226	1	268	19516440	177201969
1990	5	830526	123531	1	269	20489551	177377051
1990	6	831613	130855	1	270	21786873	177558460
1990	7	832659	160639	1	271	18531609	177734497
1990	8	833733	138179	1	272	18926129	177916895
1990	9	834800	121578	1	273	18265508	178099783
1990	10	835826	156733	1	274	19638993	178277239
1990	11	836880	154780	1	275	22214106	178461082
1990	12	837894	173822	1	276	27624534	178639457
1991	1	838935	122066	1	277	14384925	178824243
1991	2	839969	105465	1	278	14779297	179009504
1991	3	840898	111324	1	279	19575578	179177239
1991	4	841920	129878	1	280	17578941	179363386
1991	5	842903	117184	1	281	19606228	179543967
1991	6	843912	119137	1	282	20660524	179731008
1991	7	844884	164057	1	283	18072800	179912449
1991	8	845881	136714	1	284	17983986	180100374
1991	9	846873	122555	1	285	17766809	180288748
1991	10	847826	167963	1	286	18833668	180471460
1991	11	848806	150874	1	287	20308824	180660689
1991	12	849748	176264	1	288	24359080	180844222
1992	1	850716	134273	1	289	15275858	181034289
1992	2	851678	116207	1	290	15334451	181224782
1992	3	852573	115719	1	291	20049137	181403359
1992	4	853524	149409	1	292	18823592	181594651
1992	5	854439	115231	1	293	17400302	181780162
1992	6	855379	144526	1	294	20442191	181972259
1992	7	856284	161616	1	295	17601471	182158537
1992	8	857213	152827	1	296	15874472	182351410
1992	9	858137	140620	1	297	18781603	182544676
1992	10	859026	171869	1	298	17862197	182732075
1992	11	859939	162592	1	299	20235168	182926093
1992	12	860818	180658	1	300	24520180	183114218
1993	1	861722	140132	1	301	13137061	183308983
1993	2	862620	117672	1	302	14314884	183504114
1993	3	863427	109860	1	303	19951722	183680679
1993	4	864315	152339	1	304	17542709	183876504
1993	5	865170	133296	1	305	16884033	184066354
1993	6	866049	148433	1	306	19196860	184262873
1993	7	866895	163081	1	307	15698414	184453388
1993	8	867765	148921	1	308	16064345	184650598
1993	9	868629	135249	1	309	17574222	184848144
1993	10	869462	174311	1	310	19166342	185039637
1993	11	870318	178217	1	311	20898251	185237838
1993	12	871142	180170	1	312	24015087	185429962
1994	1	871988	130367	1	313	16770326	185628799
1994	2	872831	105465	1	314	13810813	185827963
1994	3	873588	114742	1	315	19415000	186008119
1994	4	874423	133785	1	316	16438420	186207876
1994	5	875226	120601	1	317	16816035	186401481
1994	6	876052	138667	1	318	18604346	186601834
1994	7	876847	143062	1	319	15722639	186796008
1994	8	877666	135738	1	320	16130880	186996944
1994	9	878480	137202	1	321	18485513	187198167
1994	10	879264	161127	1	322	17864800	187393176
1994	11	880070	160151	1	323	20445048	187594952
1994	12	880847	178217	1	324	22745212	187790494
1995	1	881646	131343	1	325	13907255	187992816
1995	2	882441	111813	1	326	14825188	188195403
1995	3	883156	111813	1	327	18714220	188378610
1995	4	883944	152827	1	328	18354370	188581699
1995	5	884704	128902	1	329	18361696	188778480
1995	6	885485	162104	1	330	19134614	188982064
1995	7	886238	141109	1	331	15651826	189179315
1995	8	887013	146968	1	332	18026744	189383380
1995	9	887785	145503	1	333	18081431	189587687
1995	10	888528	167963	1	334	18774275	189785622
1995	11	889294	173822	1	335	22357652	189990384
1995	12	890031	192865	1	336	23748234	190188757
1996	1	890790	146480	1	337	16162057	190393954
1996	2	891547	129390	1	338	16471132	190599368
1996	3	892251	130367	1	339	19299162	190791726
1996	4	893002	163081	1	340	18639030	190997549
1996	5	893726	136226	1	341	19958320	191196927
1996	6	894471	177240	1	342	18304077	191403152
1996	7	895189	194329	1	343	18819683	191602903
1996	8	895929	160639	1	344	18236209	191809512
1996	9	896666	147456	1	345	17840226	192016301
1996	10	897377	183588	1	346	20941685	192216588
1996	11	898110	179193	1	347	22964080	192423736
1996	12	898816	192376	1	348	24641754	192624361
1997	1	899544	143550	1	349	16531677	192831845
1997	2	900269	128414	1	350	15995562	193039494
1997	3	900923	135249	1	351	19072121	193227187
1997	4	901644	158198	1	352	19954409	193435140
1997	5	902340	152827	1	353	19377772	193636530
1997	6	903057	154292	1	354	20494925	193844784
1997	7	903749	190423	1	355	18495480	194046447
1997	8	904462	173822	1	356	17948621	194254981
1997	9	905173	163081	1	357	19167817	194463650
1997	10	905860	191400	1	358	21871341	194665705
1997	11	906568	181635	1	359	23126184	194874630
1997	12	907251	209466	1	360	25058249	195076927
