YEAR	MONTH	POPN	WINE	WINEOFF	MONTHN	WINESUM	POPSUM
1968	1	2126713	52460	0	1	10532899	122668730
1968	2	2129396	55185	0	2	10663709	122843794
1968	3	2131935	62680	0	3	13266957	123008526
1968	4	2134682	57911	0	4	10622152	123185652
1968	5	2137373	60636	0	5	11027527	123358096
1968	6	2140188	53823	0	6	10570372	123537370
1968	7	2142945	54504	0	7	9506183	123711914
1968	8	2145828	53823	0	8	10066211	123893371
1968	9	2148746	55867	0	9	10876277	124075957
1968	10	2151605	58592	0	10	12652426	124253741
1968	11	2154594	68130	0	11	12941981	124438583
1968	12	2157522	83800	0	12	13918959	124618569
1969	1	2160584	54504	0	13	9689778	124805711
1969	2	2163683	53293	0	14	9557698	124994035
1969	3	2166514	59349	0	15	12486612	125165164
1969	4	2169684	59349	0	16	10997229	125355783
1969	5	2172789	62982	0	17	10446712	125541404
1969	6	2176036	52687	0	18	10890189	125734426
1969	7	2179214	53293	0	19	10307843	125922407
1969	8	2182538	53898	0	20	10387673	126117882
1969	9	2185901	59349	0	21	11037741	126314621
1969	10	2189194	58743	0	22	11767595	126506230
1969	11	2192636	64194	0	23	11789141	126705496
1969	12	2196006	83573	0	24	15311003	126899561
1970	1	2199529	65405	0	25	11695705	127101389
1970	2	2203093	60560	0	26	10578731	127304537
1970	3	2206349	69644	0	27	14224664	127489169
1970	4	2209993	69644	0	28	11567368	127694861
1970	5	2213560	70250	0	29	11265769	127895203
1970	6	2217287	69644	0	30	12037109	128103532
1970	7	2220933	68433	0	31	10975896	128306392
1970	8	2224740	68433	0	32	10644026	128517288
1970	9	2228587	64194	0	33	12397844	128729453
1970	10	2232346	74489	0	34	13638112	128935961
1970	11	2236269	74489	0	35	14384208	129150560
1970	12	2240100	100530	0	36	17984503	129359392
1971	1	2244095	73278	0	37	13105790	129576349
1971	2	2248126	71461	0	38	12443865	129794468
1971	3	2251797	80545	0	39	15639016	129992470
1971	4	2255894	78728	0	40	13948784	130212749
1971	5	2259891	78728	0	41	12991938	130426976
1971	6	2264053	70855	0	42	14490801	130649410
1971	7	2268112	76911	0	43	12079298	130865682
1971	8	2272337	66616	0	44	12578310	131090184
1971	9	2276593	64799	0	45	13845833	131315708
1971	10	2280740	70250	0	46	14777249	131534906
1971	11	2285054	75700	0	47	17157252	131762374
1971	12	2289256	102952	0	48	20095625	131983421
1972	1	2293626	62017	0	49	12464364	132212749
1972	2	2298022	63664	0	50	12761831	132442996
1972	3	2302158	72994	0	51	16170582	132659199
1972	4	2306605	68054	0	52	13248087	132891164
1972	5	2310931	71896	0	53	14238718	133116447
1972	6	2315425	69701	0	54	15594314	133350064
1972	7	2319797	69701	0	55	11516547	133576914
1972	8	2324336	67505	0	56	13453901	133812111
1972	9	2328898	69701	0	57	13869907	134048069
1972	10	2333332	69701	0	58	15140984	134277133
1972	11	2337934	80128	0	59	17280304	134514551
1972	12	2342406	105923	0	60	18270385	134744973
1973	1	2347045	71896	0	61	14561974	134983759
1973	2	2351703	71896	0	62	13182775	135223203
1973	3	2355925	87263	0	63	16553660	135440031
1973	4	2360615	76836	0	64	14945606	135680684
1973	5	2365169	82324	0	65	15148671	135914148
1973	6	2369890	79031	0	66	14696984	136155966
1973	7	2374472	72994	0	67	12561674	136390517
1973	8	2379220	75189	0	68	14196457	136633419
1973	9	2383981	69701	0	69	13104294	136876840
1973	10	2388601	72445	0.5	70	16510304	137112883
1973	11	2393385	82324	0.5	71	16704587	137357264
1973	12	2398025	100984	0.5	72	17519594	137594194
1974	1	2402830	107021	0.5	73	14508189	137839448
1974	2	2407644	103728	0.5	74	12557117	138085124
1974	3	2411999	132816	0.5	75	16059720	138307353
1974	4	2416829	149280	0.5	76	14883584	138553755
1974	5	2421509	147634	0.5	77	14834740	138792546
1974	6	2426352	126230	0.5	78	14689849	139039618
1974	7	2431043	137206	0.5	79	13422065	139279019
1974	8	2435896	132816	0.5	80	14618503	139526684
1974	9	2440752	111960	0.5	81	13371573	139774617
1974	10	2445456	136109	0.5	82	16533903	140014789
1974	11	2450318	140499	0.5	83	16155765	140263186
1974	12	2455026	173429	0.5	84	19758248	140503772
1975	1	2459891	134462	0.5	85	14658019	140752558
1975	2	2464757	122388	0.5	86	13382002	141001504
1975	3	2469151	138304	0.5	87	17225425	141226486
1975	4	2474015	141048	0.5	88	15264469	141475689
1975	5	2478721	143792	0.5	89	15020791	141716949
1975	6	2483581	127327	0.5	90	15635475	141966331
1975	7	2488281	136109	0.5	91	14718394	142207724
1975	8	2493134	134462	0.5	92	13925340	142457205
1975	9	2497981	122388	0.5	93	14802360	142706708
1975	10	2502667	135560	0.5	94	17768212	142948157
1975	11	2507504	132816	0.5	95	17335733	143197632
1975	12	2512177	186052	0.5	96	21383319	143439013
1976	1	2516999	126779	0.5	97	14726617	143688383
1976	2	2521812	127327	0.5	98	13529636	143937660
1976	3	2526306	143792	0.5	99	18692429	144170762
1976	4	2531100	145439	0.5	100	16082767	144419813
1976	5	2535729	133364	0.5	101	15228796	144660687
1976	6	2540502	133913	0.5	102	16592628	144909432
1976	7	2545109	130620	0.5	103	13993391	145149966
1976	8	2549857	117449	0.5	104	14731561	145398307
1976	9	2554591	119095	0.5	105	15819336	145646422
1976	10	2559158	119095	0.5	106	16393953	145886287
1976	11	2563863	134462	0.5	107	19162772	146133881
1976	12	2568401	175624	0.5	108	21388259	146373207
1977	1	2573073	101559	0.5	109	12700750	146620198
1977	2	2577729	104977	0.5	110	12458573	146866849
1977	3	2581918	123531	0.5	111	17807512	147089332
1977	4	2586538	113766	0.5	112	13861845	147335280
1977	5	2590990	111324	0.5	113	14212905	147572919
1977	6	2595571	112301	0.5	114	15554168	147818068
1977	7	2599984	102047	0.5	115	13394573	148054888
1977	8	2604522	116695	0.5	116	14849604	148299147
1977	9	2609038	97653	0.5	117	14719238	148542929
1977	10	2613386	104489	0.5	118	15619601	148778362
1977	11	2617856	123531	0.5	119	17827044	149021130
1977	12	2622157	161127	0.5	120	20051090	149255545
1978	1	2626577	99606	0.5	121	13996113	149497214
1978	2	2630970	101071	0.5	122	13594276	149738294
1978	3	2634915	119137	0.5	123	18495966	149955529
1978	4	2639256	103512	0.5	124	15008292	150195438
1978	5	2643431	112789	0.5	125	15932088	150426988
1978	6	2647715	105465	0.5	126	16989183	150665598
1978	7	2651833	93259	0.5	127	14782227	150895852
1978	8	2656058	102536	0.5	128	15860799	151133080
1978	9	2660251	91306	0.5	129	15342751	151369579
1978	10	2664278	104489	0.5	130	17319246	151597732
1978	11	2668408	111324	0.5	131	18718126	151832726
1978	12	2672372	146480	0.5	132	20119449	152059377
1979	1	2676434	100094	0.5	133	15936479	152292783
1979	2	2680461	99118	0.5	134	13584997	152525354
1979	3	2684068	111813	0.5	135	18520869	152734677
1979	4	2688026	107907	0.5	136	16409610	152965594
1979	5	2691820	113277	0.5	137	16996020	153188202
1979	6	2695704	108395	0.5	138	16795341	153417326
1979	7	2699426	101071	0.5	139	15186019	153638163
1979	8	2703233	114254	0.5	140	15796837	153865420
1979	9	2706999	103512	0.5	141	15300273	154091690
1979	10	2710605	115719	0.5	142	18997413	154309700
1979	11	2714290	131832	0.5	143	20324518	154533976
1979	12	2717815	165034	0.5	144	21432881	154750017
1980	1	2721415	116207	0.5	145	16492127	154972212
1980	2	2724972	121578	0.5	146	15218733	155193318
1980	3	2728258	121090	0.5	147	18706408	155399157
1980	4	2731727	126949	0.5	148	17364654	155618098
1980	5	2735040	127437	0.5	149	17867084	155828887
1980	6	2738419	114742	0.5	150	17480371	156045583
1980	7	2741646	123531	0.5	151	17969618	156254216
1980	8	2744936	111813	0.5	152	16336860	156468720
1980	9	2748183	102536	0.5	153	16964765	156682123
1980	10	2751283	416978	1	154	21301534	156887618
1980	11	2754445	237297	1	155	20702438	157098906
1980	12	2757465	172846	1	156	24545082	157302379
1981	1	2760544	153315	1	157	17202550	157511614
