YEAR	MONTH	POPN	WINE	WINEOFF	MONTHN	WINESUM	POPSUM
1968	1	422915	12263	0	1	10532899	122668730
1968	2	423685	12945	0	2	10663709	122843794
1968	3	424420	14307	0	3	13266957	123008526
1968	4	425222	12945	0	4	10622152	123185652
1968	5	426015	12945	0	5	11027527	123358096
1968	6	426850	12263	0	6	10570372	123537370
1968	7	427675	11582	0	7	9506183	123711914
1968	8	428545	12945	0	8	10066211	123893371
1968	9	429433	12263	0	9	10876277	124075957
1968	10	430308	14307	0	10	12652426	124253741
1968	11	431231	17033	0	11	12941981	124438583
1968	12	432141	21802	0	12	13918959	124618569
1969	1	433100	12112	0	13	9689778	124805711
1969	2	434077	12112	0	14	9557698	124994035
1969	3	434976	13323	0	15	12486612	125165164
1969	4	435989	12718	0	16	10997229	125355783
1969	5	436987	12718	0	17	10446712	125541404
1969	6	438038	11506	0	18	10890189	125734426
1969	7	439073	12112	0	19	10307843	125922407
1969	8	440162	12718	0	20	10387673	126117882
1969	9	441271	12718	0	21	11037741	126314621
1969	10	442363	15140	0	22	11767595	126506230
1969	11	443511	16351	0	23	11789141	126705496
1969	12	444641	23013	0	24	15311003	126899561
1970	1	445830	14534	0	25	11695705	127101389
1970	2	447039	14534	0	26	10578731	127304537
1970	3	448148	12718	0	27	14224664	127489169
1970	4	449397	12112	0	28	11567368	127694861
1970	5	450625	13323	0	29	11265769	127895203
1970	6	451915	13929	0	30	12037109	128103532
1970	7	453183	13323	0	31	10975896	128306392
1970	8	454513	13929	0	32	10644026	128517288
1970	9	455862	14534	0	33	12397844	128729453
1970	10	457186	17562	0	34	13638112	128935961
1970	11	458573	18774	0	35	14384208	129150560
1970	12	459932	28463	0	36	17984503	129359392
1971	1	461355	16351	0	37	13105790	129576349
1971	2	462795	16957	0	38	12443865	129794468
1971	3	464111	19379	0	39	15639016	129992470
1971	4	465584	17562	0	40	13948784	130212749
1971	5	467025	17562	0	41	12991938	130426976
1971	6	468530	93262	0	42	14490801	130649410
1971	7	470002	78122	1	43	12079298	130865682
1971	8	471537	38153	1	44	12578310	131090184
1971	9	473088	43603	1	45	13845833	131315708
1971	10	474602	46631	1	46	14777249	131534906
1971	11	476181	60560	1	47	17157252	131762374
1971	12	477723	73883	1	48	20095625	131983421
1972	1	479328	41711	1	49	12464364	132212749
1972	2	480947	39515	1	50	12761831	132442996
1972	3	482473	46101	1	51	16170582	132659199
1972	4	484116	34576	1	52	13248087	132891164
1972	5	485717	34027	1	53	14238718	133116447
1972	6	487383	50492	1	54	15594314	133350064
1972	7	489006	40613	1	55	11516547	133576914
1972	8	490694	58175	1	56	13453901	133812111
1972	9	492391	53236	1	57	13869907	134048069
1972	10	494044	50492	1	58	15140984	134277133
1972	11	495761	58175	1	59	17280304	134514551
1972	12	497431	65310	1	60	18270385	134744973
1973	1	499166	45552	1	61	14561974	134983759
1973	2	500909	36222	1	62	13182775	135223203
1973	3	502490	53236	1	63	16553660	135440031
1973	4	504248	39515	1	64	14945606	135680684
1973	5	505956	42260	1	65	15148671	135914148
1973	6	507728	47199	1	66	14696984	136155966
1973	7	509449	40613	1	67	12561674	136390517
1973	8	511233	41711	1	68	14196457	136633419
1973	9	513023	46650	1	69	13104294	136876840
1973	10	514760	55980	1	70	16510304	137112883
1973	11	516560	48845	1	71	16704587	137357264
1973	12	518306	55980	1	72	17519594	137594194
1974	1	520115	47748	1	73	14508189	137839448
1974	2	521927	39515	1	74	12557117	138085124
1974	3	523567	43906	1	75	16059720	138307353
1974	4	525385	46650	1	76	14883584	138553755
1974	5	527147	38967	1	77	14834740	138792546
1974	6	528971	48297	1	78	14689849	139039618
1974	7	530737	39515	1	79	13422065	139279019
1974	8	532563	53785	1	80	14618503	139526684
1974	9	534390	40064	1	81	13371573	139774617
1974	10	536159	58175	1	82	16533903	140014789
1974	11	537988	45552	1	83	16155765	140263186
1974	12	539757	67505	1	84	19758248	140503772
1975	1	541585	47199	1	85	14658019	140752558
1975	2	543412	37320	1	86	13382002	141001504
1975	3	545061	58724	1	87	17225425	141226486
1975	4	546885	47199	1	88	15264469	141475689
1975	5	548648	47748	1	89	15020791	141716949
1975	6	550468	52138	1	90	15635475	141966331
1975	7	552226	42260	1	91	14718394	142207724
1975	8	554040	47199	1	92	13925340	142457205
1975	9	555851	52138	1	93	14802360	142706708
1975	10	557599	53236	1	94	17768212	142948157
1975	11	559401	58724	1	95	17335733	143197632
1975	12	561140	66408	1	96	21383319	143439013
1976	1	562933	48297	1	97	14726617	143688383
1976	2	564720	40613	1	98	13529636	143937660
1976	3	566386	68054	1	99	18692429	144170762
1976	4	568161	49394	1	100	16082767	144419813
1976	5	569873	47199	1	101	15228796	144660687
1976	6	571634	50492	1	102	16592628	144909432
1976	7	573332	49394	1	103	13993391	145149966
1976	8	575079	52138	1	104	14731561	145398307
1976	9	576817	54883	1	105	15819336	145646422
1976	10	578491	49394	1	106	16393953	145886287
1976	11	580212	69701	1	107	19162772	146133881
1976	12	581869	62566	1	108	21388259	146373207
1977	1	583571	54197	1	109	12700750	146620198
1977	2	585263	36132	1	110	12458573	146866849
1977	3	586782	48338	1	111	17807512	147089332
1977	4	588454	45897	1	112	13861845	147335280
1977	5	590061	40526	1	113	14212905	147572919
1977	6	591710	60057	1	114	15554168	147818068
1977	7	593294	54197	1	115	13394573	148054888
1977	8	594919	42967	1	116	14849604	148299147
1977	9	596531	53221	1	117	14719238	148542929
1977	10	598078	53709	1	118	15619601	148778362
1977	11	599664	63474	1	119	17827044	149021130
1977	12	601185	68845	1	120	20051090	149255545
1978	1	602743	49315	1	121	13996113	149497214
1978	2	604285	49315	1	122	13594276	149738294
1978	3	605666	67381	1	123	18495966	149955529
1978	4	607179	60057	1	124	15008292	150195438
1978	5	608629	43944	1	125	15932088	150426988
1978	6	610111	69822	1	126	16989183	150665598
1978	7	611529	50291	1	127	14782227	150895852
1978	8	612977	59568	1	128	15860799	151133080
1978	9	614408	54197	1	129	15342751	151369579
1978	10	615776	60545	1	130	17319246	151597732
1978	11	617171	65916	1	131	18718126	151832726
