YEAR	MONTH	POPN	WINE	WINEOFF	MONTHN	WINESUM	POPSUM
1968	1	632078	17714	0	1	10532899	122668730
1968	2	632578	17714	0	2	10663709	122843794
1968	3	633056	19076	0	3	13266957	123008526
1968	4	633580	18395	0	4	10622152	123185652
1968	5	634097	19076	0	5	11027527	123358096
1968	6	634645	19076	0	6	10570372	123537370
1968	7	635186	21120	0	7	9506183	123711914
1968	8	635757	29296	0	8	10066211	123893371
1968	9	636341	17714	0	9	10876277	124075957
1968	10	636919	17714	0	10	12652426	124253741
1968	11	637528	25889	0	11	12941981	124438583
1968	12	638130	25208	0	12	13918959	124618569
1969	1	638764	15746	0	13	9689778	124805711
1969	2	639412	19379	0	14	9557698	124994035
1969	3	640009	16351	0	15	12486612	125165164
1969	4	640682	15746	0	16	10997229	125355783
1969	5	641347	19985	0	17	10446712	125541404
1969	6	642047	18168	0	18	10890189	125734426
1969	7	642738	19985	0	19	10307843	125922407
1969	8	643466	27858	0	20	10387673	126117882
1969	9	644208	16957	0	21	11037741	126314621
1969	10	644939	17562	0	22	11767595	126506230
1969	11	645709	24224	0	23	11789141	126705496
1969	12	646468	24224	0	24	15311003	126899561
1970	1	647266	18168	0	25	11695705	127101389
1970	2	648079	21196	0	26	10578731	127304537
1970	3	648826	18168	0	27	14224664	127489169
1970	4	649668	17562	0	28	11567368	127694861
1970	5	650497	21802	0	29	11265769	127895203
1970	6	651368	20590	0	30	12037109	128103532
1970	7	652225	22407	0	31	10975896	128306392
1970	8	653124	30886	0	32	10644026	128517288
1970	9	654038	21196	0	33	12397844	128729453
1970	10	654937	20590	0	34	13638112	128935961
1970	11	655878	26646	0	35	14384208	129150560
1970	12	656803	27252	0	36	17984503	129359392
1971	1	657772	247085	1	37	13105790	129576349
1971	2	658754	179258	1	38	12443865	129794468
1971	3	659652	119303	1	39	15639016	129992470
1971	4	660660	53293	1	40	13948784	130212749
1971	5	661647	61166	1	41	12991938	130426976
1971	6	662679	63588	1	42	14490801	130649410
1971	7	663690	78728	1	43	12079298	130865682
1971	8	664747	88418	1	44	12578310	131090184
1971	9	665816	53898	1	45	13845833	131315708
1971	10	666862	69038	1	46	14777249	131534906
1971	11	667955	54504	1	47	17157252	131762374
1971	12	669023	61771	1	48	20095625	131983421
1972	1	670138	49394	1	49	12464364	132212749
1972	2	671264	35488	1	50	12761831	132442996
