YEAR	MONTH	POPN	WINE	WINEOFF	MONTHN	WINESUM	POPSUM
1968	1	1137536	33384	0	1	10532899	122668730
1968	2	1138147	33384	0	2	10663709	122843794
1968	3	1138744	39515	0	3	13266957	123008526
1968	4	1139408	39515	0	4	10622152	123185652
1968	5	1140077	40197	0	5	11027527	123358096
1968	6	1140796	36790	0	6	10570372	123537370
1968	7	1141518	36109	0	7	9506183	123711914
1968	8	1142293	38153	0	8	10066211	123893371
1968	9	1143097	35428	0	9	10876277	124075957
1968	10	1143902	39515	0	10	12652426	124253741
1968	11	1144763	40197	0	11	12941981	124438583
1968	12	1145625	45647	0	12	13918959	124618569
1969	1	1146545	30886	0	13	9689778	124805711
1969	2	1147495	29674	0	14	9557698	124994035
1969	3	1148380	33914	0	15	12486612	125165164
1969	4	1149388	35125	0	16	10997229	125355783
1969	5	1150394	34519	0	17	10446712	125541404
1969	6	1151464	31491	0	18	10890189	125734426
1969	7	1152530	32097	0	19	10307843	125922407
1969	8	1153663	34519	0	20	10387673	126117882
1969	9	1154828	32702	0	21	11037741	126314621
1969	10	1155987	35730	0	22	11767595	126506230
1969	11	1157217	34519	0	23	11789141	126705496
1969	12	1158438	41181	0	24	15311003	126899561
1970	1	1159734	31491	0	25	11695705	127101389
1970	2	1161062	29069	0	26	10578731	127304537
1970	3	1162292	33914	0	27	14224664	127489169
1970	4	1163686	36336	0	28	11567368	127694861
1970	5	1165068	34519	0	29	11265769	127895203
1970	6	1166529	34519	0	30	12037109	128103532
1970	7	1167975	36336	0	31	10975896	128306392
1970	8	1169501	35730	0	32	10644026	128517288
1970	9	1171059	35730	0	33	12397844	128729453
1970	10	1172597	40575	0	34	13638112	128935961
1970	11	1174216	37547	0	35	14384208	129150560
1970	12	1175812	50870	0	36	17984503	129359392
1971	1	1177490	36942	0	37	13105790	129576349
1971	2	1179196	33914	0	38	12443865	129794468
1971	3	1180762	46631	0	39	15639016	129992470
1971	4	1182521	38758	0	40	13948784	130212749
1971	5	1184249	45420	0	41	12991938	130426976
1971	6	1186061	35730	0	42	14490801	130649410
1971	7	1187838	44814	0	43	12079298	130865682
1971	8	1189699	35125	0	44	12578310	131090184
1971	9	1191585	36942	0	45	13845833	131315708
1971	10	1193432	46026	0	46	14777249	131534906
1971	11	1195363	44209	0	47	17157252	131762374
1971	12	1197253	66616	0	48	20095625	131983421
1972	1	1199227	37869	0	49	12464364	132212749
1972	2	1201223	36222	0	50	12761831	132442996
1972	3	1203108	37869	0	51	16170582	132659199
1972	4	1205142	39515	0	52	13248087	132891164
1972	5	1207129	40613	0	53	14238718	133116447
1972	6	1209200	41162	0	54	15594314	133350064
1972	7	1211221	43357	0	55	11516547	133576914
1972	8	1213326	40064	0	56	13453901	133812111
1972	9	1215448	40613	0	57	13869907	134048069
1972	10	1217516	40064	0	58	15140984	134277133
1972	11	1219669	43357	0	59	17280304	134514551
1972	12	1221765	59822	0	60	18270385	134744973
1973	1	1223945	38967	0	61	14561974	134983759
1973	2	1226139	36771	0	62	13182775	135223203
1973	3	1228131	42808	0	63	16553660	135440031
1973	4	1230347	40064	0	64	14945606	135680684
1973	5	1232503	41162	0	65	15148671	135914148
1973	6	1234742	39515	0	66	14696984	136155966
1973	7	1236917	37320	0	67	12561674	136390517
1973	8	1239174	38967	0	68	14196457	136633419
1973	9	1241440	35674	0	69	13104294	136876840
1973	10	1243641	37320	0	70	16510304	137112883
1973	11	1245922	40064	0	71	16704587	137357264
1973	12	1248136	57627	0	72	17519594	137594194
1974	1	1250430	34027	0	73	14508189	137839448
1974	2	1252729	33478	0	74	12557117	138085124
1974	3	1254810	40613	0	75	16059720	138307353
1974	4	1257118	38967	0	76	14883584	138553755
1974	5	1259354	38967	0	77	14834740	138792546
1974	6	1261668	37320	0	78	14689849	139039618
1974	7	1263910	37320	0	79	13422065	139279019
1974	8	1266228	40064	0	80	14618503	139526684
1974	9	1268547	34576	0	81	13371573	139774617
1974	10	1270791	40613	0	82	16533903	140014789
1974	11	1273110	45004	0	83	16155765	140263186
1974	12	1275353	60920	0	84	19758248	140503772
1975	1	1277669	37320	0	85	14658019	140752558
1975	2	1279982	35674	0	86	13382002	141001504
1975	3	1282070	43357	0	87	17225425	141226486
1975	4	1284377	42260	0	88	15264469	141475689
1975	5	1286606	44455	0	89	15020791	141716949
1975	6	1288905	38967	0	90	15635475	141966331
1975	7	1291124	40613	0	91	14718394	142207724
1975	8	1293411	42260	0	92	13925340	142457205
1975	9	1295691	39515	0	93	14802360	142706708
1975	10	1297890	43906	0	94	17768212	142948157
1975	11	1300155	45004	0	95	17335733	143197632
1975	12	1302339	63664	0	96	21383319	143439013
1976	1	1304585	40064	0	97	14726617	143688383
1976	2	1306822	36771	0	98	13529636	143937660
1976	3	1308905	44455	0	99	18692429	144170762
1976	4	1311120	42260	0	100	16082767	144419813
1976	5	1313253	42808	0	101	15228796	144660687
1976	6	1315444	40613	0	102	16592628	144909432
1976	7	1317552	44455	0	103	13993391	145149966
1976	8	1319716	41711	0	104	14731561	145398307
1976	9	1321866	41162	0	105	15819336	145646422
1976	10	1323932	46650	0	106	16393953	145886287
1976	11	1326051	46650	0	107	19162772	146133881
1976	12	1328085	70250	0	108	21388259	146373207
1977	1	1330171	29784	0	109	12700750	146620198
